 CONF#          G (xTB)          ΔG (xTB)          E (DFT)           ΔGsolv         GmRRHO           Gtot             ΔGtot          Boltzmann weight   
                  [Eh]          [kcal/mol]           [Eh]             [Eh]           [Eh]            [Eh]           [kcal/mol]        % at 298.15 K     
 CONF1         -65.031765          ---           -2932.457173       -0.008950        ---         -2932.466123          7.18                0.00         
 CONF4         -65.031566          ---           -2932.456721       -0.009152        ---         -2932.465872          7.34                0.00         
 CONF5         -65.031528          ---           -2932.458393       -0.008667        ---         -2932.467060          6.60                0.00         
 CONF6         -65.031388          ---           -2932.458276       -0.008869        ---         -2932.467145          6.54                0.00         
 CONF7         -65.031341          ---           -2932.457966       -0.008900        ---         -2932.466866          6.72                0.00         
 CONF9         -65.031265          ---           -2932.459664       -0.008763        ---         -2932.468427          5.74                0.00         
 CONF12        -65.031107          ---           -2932.464811       -0.007273        ---         -2932.472084          3.44                0.05         
 CONF13        -65.031101          ---           -2932.464825       -0.007237        ---         -2932.472062          3.46                0.05         
 CONF14        -65.031076          ---           -2932.459557       -0.008963        ---         -2932.468520          5.68                0.00         
 CONF26        -65.030420          ---           -2932.457233       -0.009754        ---         -2932.466988          6.64                0.00         
 CONF35        -65.030285          ---           -2932.457669       -0.008729        ---         -2932.466398          7.01                0.00         
 CONF46        -65.030057          ---           -2932.464319       -0.007020        ---         -2932.471340          3.91                0.02         
 CONF47        -65.030043          ---           -2932.458663       -0.008511        ---         -2932.467174          6.52                0.00         
 CONF61        -65.029911          ---           -2932.458437       -0.008702        ---         -2932.467139          6.55                0.00         
 CONF63        -65.029880          ---           -2932.456395       -0.010781        ---         -2932.467177          6.52                0.00         
 CONF64        -65.029869          ---           -2932.457936       -0.009558        ---         -2932.467494          6.32                0.00         
 CONF65        -65.029862          ---           -2932.457921       -0.009053        ---         -2932.466974          6.65                0.00         
 CONF66        -65.029855          ---           -2932.458177       -0.009070        ---         -2932.467248          6.48                0.00         
 CONF70        -65.029825          ---           -2932.462219       -0.008488        ---         -2932.470708          4.31                0.01         
 CONF72        -65.029818          ---           -2932.455565       -0.010843        ---         -2932.466407          7.01                0.00         
 CONF73        -65.029808          ---           -2932.462204       -0.008547        ---         -2932.470751          4.28                0.01         
 CONF74        -65.029819          ---           -2932.455498       -0.010781        ---         -2932.466278          7.09                0.00         
 CONF75        -65.029790          ---           -2932.463799       -0.009247        ---         -2932.473046          2.84                0.13         
 CONF76        -65.029788          ---           -2932.459966       -0.008658        ---         -2932.468624          5.61                0.00         
 CONF81        -65.029746          ---           -2932.459577       -0.009419        ---         -2932.468996          5.38                0.00         
 CONF83        -65.029711          ---           -2932.459020       -0.008832        ---         -2932.467852          6.10                0.00         
 CONF86        -65.029704          ---           -2932.459229       -0.009494        ---         -2932.468722          5.55                0.00         
 CONF87        -65.029694          ---           -2932.458270       -0.009316        ---         -2932.467586          6.27                0.00         
 CONF88        -65.029689          ---           -2932.458159       -0.009276        ---         -2932.467435          6.36                0.00         
 CONF89        -65.029672          ---           -2932.459198       -0.008757        ---         -2932.467955          6.03                0.00         
 CONF92        -65.029639          ---           -2932.457519       -0.009265        ---         -2932.466784          6.77                0.00         
