 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        1.149585    0.053127    2.896926
    2          6             0        2.642375   -0.036033    2.655067
    3          8             0        3.019124    0.535283    1.391351
    4         15             0        2.701728   -0.161991   -0.002586
    5         16             0        2.839675   -2.121748   -0.002852
    6          8             0        3.689904    0.608125   -0.971780
    7          6             0        5.060697    0.196570   -1.170434
    8          6             0        5.915016    0.389535    0.066148
    9         16             0        0.884198    0.698066   -0.688189
   10          6             0       -0.069558   -0.806870   -1.065619
   11         16             0       -1.356521   -1.172491    0.153682
   12         15             0       -2.772523    0.267717   -0.539677
   13         16             0       -3.003473    0.367912   -2.477511
   14          8             0       -2.293808    1.642228    0.064823
   15          6             0       -2.156767    1.864021    1.492225
   16          6             0       -1.248188    3.059862    1.685807
   17          8             0       -4.075630   -0.035130    0.320864
   18          6             0       -5.142376   -0.897097   -0.116459
   19          6             0       -4.741722   -2.357750   -0.121118
   20          1             0        0.616594   -0.578103    2.185703
   21          1             0        0.928300   -0.291201    3.902089
   22          1             0        0.813314    1.080564    2.785317
   23          1             0        2.975383   -1.078803    2.678063
   24          1             0        3.202756    0.549956    3.385057
   25          1             0        5.064136   -0.853232   -1.480826
   26          1             0        5.401287    0.826163   -1.993797
   27          1             0        5.598027   -0.291941    0.853820
   28          1             0        6.951181    0.179851   -0.182628
   29          1             0        5.830722    1.410880    0.427780
   30          1             0        0.606378   -1.664166   -1.077842
   31          1             0       -0.544661   -0.660564   -2.036060
   32          1             0       -3.153824    2.043818    1.898466
   33          1             0       -1.740780    0.960197    1.947102
   34          1             0       -0.277332    2.868067    1.234960
   35          1             0       -1.680278    3.935476    1.210137
   36          1             0       -1.129143    3.249699    2.747876
   37          1             0       -5.940513   -0.702803    0.601974
   38          1             0       -5.456088   -0.579527   -1.115603
   39          1             0       -5.613950   -2.963299   -0.347484
   40          1             0       -3.982561   -2.535745   -0.880950
   41          1             0       -4.343948   -2.646387    0.848145
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    48.0722                49.2970                51.8732
 Red. masses --    24.2044                23.5902                22.9801
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     2.7519                 3.1039                 1.0190
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.08  -0.01   0.01     0.06  -0.08   0.01    -0.14  -0.07  -0.04
   2   6     0.09  -0.07   0.08     0.06  -0.14   0.03    -0.14  -0.17  -0.03
   3   8     0.21  -0.10   0.11     0.13  -0.15   0.06    -0.11  -0.14   0.01
   4  15     0.09   0.02   0.13     0.08  -0.03   0.02     0.05  -0.04  -0.11
   5  16    -0.13  -0.00  -0.08     0.26  -0.02  -0.33     0.04  -0.04  -0.35
   6   8     0.08  -0.01   0.08    -0.05   0.14   0.04     0.15   0.05   0.10
   7   6     0.04  -0.07   0.01    -0.05   0.16  -0.09     0.14   0.03   0.19
   8   6     0.10  -0.10  -0.03     0.02   0.10  -0.13     0.04  -0.02   0.26
   9  16     0.12   0.29   0.40    -0.09  -0.10   0.38     0.18   0.04  -0.37
  10   6     0.06   0.26  -0.06    -0.04  -0.07   0.24    -0.00   0.04  -0.00
  11  16     0.05   0.07  -0.25    -0.20   0.02   0.29     0.14   0.29   0.23
  12  15    -0.13  -0.04  -0.11    -0.05   0.01  -0.03    -0.05   0.03   0.09
  13  16    -0.44  -0.13  -0.08     0.22  -0.23  -0.08    -0.13  -0.23   0.09
  14   8    -0.08   0.00  -0.15    -0.03   0.03  -0.09    -0.15   0.11  -0.03
  15   6     0.01   0.01  -0.13    -0.06   0.08  -0.08    -0.11   0.13  -0.03
  16   6     0.02   0.01  -0.18    -0.04   0.07  -0.10    -0.04   0.09  -0.06
  17   8     0.01  -0.08   0.05    -0.12   0.14  -0.11    -0.00  -0.04   0.10
  18   6    -0.01  -0.07   0.10    -0.09   0.10  -0.08     0.01  -0.04   0.06
  19   6    -0.01  -0.07   0.09    -0.08   0.10  -0.03     0.04  -0.03   0.03
  20   1     0.03  -0.00   0.00     0.01  -0.02   0.00    -0.05  -0.00  -0.02
  21   1     0.01   0.01   0.00     0.01  -0.01   0.00    -0.05  -0.03  -0.01
  22   1     0.04   0.00  -0.01     0.03  -0.02  -0.01    -0.02  -0.01  -0.00
  23   1     0.01  -0.02   0.03     0.00  -0.05   0.00    -0.06  -0.06  -0.02
  24   1     0.02  -0.03   0.03     0.02  -0.05   0.02    -0.03  -0.07   0.00
  25   1    -0.01  -0.02   0.00    -0.01   0.05  -0.04     0.04   0.01   0.05
  26   1     0.01  -0.03  -0.00    -0.03   0.06  -0.02     0.06   0.01   0.07
  27   1     0.03  -0.02  -0.00     0.02   0.02  -0.04    -0.01  -0.01   0.06
  28   1     0.03  -0.04  -0.02     0.00   0.03  -0.06     0.02  -0.01   0.10
  29   1     0.04  -0.03  -0.01     0.01   0.02  -0.02     0.01  -0.01   0.08
  30   1     0.01   0.07  -0.05    -0.01  -0.02   0.09    -0.01   0.00   0.00
  31   1     0.02   0.12  -0.01     0.00  -0.03   0.06    -0.02  -0.01   0.01
