 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        1.995108    2.666645   -1.316385
    2          6             0        2.932481    1.801721   -0.500594
    3          8             0        2.259572    1.368822    0.714606
    4         15             0        2.157729   -0.153915    1.105593
    5         16             0        1.406641   -0.459697    2.881199
    6          8             0        3.672267   -0.614891    0.920643
    7          6             0        4.116487   -1.937997    1.279679
    8          6             0        5.631764   -1.923597    1.327792
    9         16             0        1.155126   -1.102325   -0.536897
   10          6             0       -0.323559   -1.714185    0.315939
   11         16             0       -1.490274   -0.426309    0.815139
   12         15             0       -2.192784    0.139887   -1.124412
   13         16             0       -2.070642   -1.250384   -2.495236
   14          8             0       -1.380179    1.438667   -1.524910
   15          6             0       -1.677776    2.780880   -1.068223
   16          6             0       -1.437243    2.954252    0.417333
   17          8             0       -3.645313    0.733317   -0.862677
   18          6             0       -4.843710   -0.056633   -0.961472
   19          6             0       -4.968362   -1.068631    0.158587
   20          1             0        1.134625    2.084989   -1.639649
   21          1             0        1.656496    3.512072   -0.723950
   22          1             0        2.523353    3.030403   -2.192170
   23          1             0        3.811441    2.358229   -0.172012
   24          1             0        3.248475    0.922632   -1.067029
   25          1             0        3.687374   -2.197462    2.252990
   26          1             0        3.748777   -2.638879    0.524869
   27          1             0        5.988479   -2.918844    1.572469
   28          1             0        6.032933   -1.625677    0.363395
   29          1             0        5.976047   -1.223886    2.084056
   30          1             0       -0.033879   -2.223801    1.233201
   31          1             0       -0.803944   -2.390718   -0.390773
   32          1             0       -1.005442    3.402974   -1.661038
   33          1             0       -2.714308    3.009238   -1.322200
   34          1             0       -0.437821    2.618919    0.688481
   35          1             0       -1.540112    4.004366    0.672843
   36          1             0       -2.161148    2.377918    0.990640
   37          1             0       -5.644566    0.683614   -0.922349
   38          1             0       -4.847153   -0.558127   -1.934203
   39          1             0       -4.869876   -0.582701    1.125847
   40          1             0       -5.939675   -1.549423    0.094905
   41          1             0       -4.193228   -1.827419    0.064905
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    38.2903                42.8951                45.8281
 Red. masses --    24.3608                22.0692                22.9212
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.8680                 2.7132                 4.8697
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.12  -0.02  -0.01    -0.04  -0.01   0.19     0.09   0.01   0.03
   2   6    -0.17  -0.09  -0.02     0.05   0.06   0.16     0.08   0.04   0.08
   3   8    -0.25  -0.13  -0.07     0.14  -0.02   0.21     0.04   0.04   0.07
   4  15    -0.08  -0.17   0.01     0.17  -0.07   0.10     0.01   0.04   0.02
   5  16    -0.08  -0.19   0.01     0.33  -0.34   0.12    -0.29  -0.04  -0.12
   6   8     0.00   0.06   0.06     0.10  -0.07  -0.06     0.04   0.05   0.19
   7   6     0.09   0.08   0.06     0.10  -0.06  -0.05     0.01   0.03   0.15
   8   6     0.09   0.17   0.02     0.10  -0.02   0.01     0.01   0.01   0.17
   9  16     0.17  -0.53   0.07    -0.00   0.20   0.05     0.28   0.12  -0.19
  10   6    -0.05  -0.04  -0.01    -0.01   0.15   0.03     0.14  -0.03  -0.24
  11  16     0.30   0.30  -0.08    -0.03   0.29  -0.05     0.22  -0.14  -0.18
  12  15     0.04   0.15  -0.04    -0.15   0.02  -0.09    -0.09  -0.05  -0.03
  13  16     0.04   0.14  -0.02    -0.18  -0.17   0.09    -0.46  -0.03  -0.08
  14   8    -0.08   0.16  -0.10    -0.14  -0.01  -0.20    -0.04  -0.07  -0.10
  15   6    -0.10   0.12  -0.06    -0.10   0.01  -0.22     0.05  -0.05  -0.07
  16   6    -0.11   0.10  -0.06    -0.15   0.06  -0.22     0.09  -0.07  -0.07
  17   8     0.01   0.03   0.05    -0.11   0.00  -0.08    -0.00   0.03   0.18
  18   6     0.04  -0.03   0.08    -0.09  -0.02  -0.04    -0.04   0.07   0.21
  19   6     0.10  -0.01   0.10    -0.05  -0.00  -0.02    -0.01   0.06   0.20
  20   1    -0.04   0.01  -0.01    -0.00  -0.02   0.06     0.03  -0.00   0.00
  21   1    -0.03  -0.01   0.00    -0.02  -0.01   0.06     0.01   0.00   0.00
  22   1    -0.03  -0.00   0.00    -0.02   0.01   0.05     0.03   0.00   0.01
  23   1    -0.04  -0.04   0.00     0.00   0.04   0.04     0.01   0.02   0.03
  24   1    -0.06  -0.02  -0.02     0.03   0.03   0.04     0.04   0.01   0.03
  25   1     0.04   0.02   0.02     0.02  -0.02  -0.02    -0.00   0.01   0.04
  26   1     0.03   0.01   0.02     0.04  -0.02  -0.02     0.00   0.01   0.04
  27   1     0.04   0.06   0.01     0.03  -0.00   0.01    -0.00   0.00   0.05
  28   1     0.01   0.05  -0.00     0.04   0.00   0.01     0.01   0.00   0.05
  29   1     0.02   0.06  -0.00     0.01  -0.01   0.01     0.00   0.00   0.05
  30   1    -0.05  -0.02   0.00    -0.01   0.05   0.01     0.03  -0.04  -0.08
  31   1    -0.04   0.01  -0.01    -0.00   0.04   0.01     0.04   0.02  -0.10
  32   1    -0.03   0.04  -0.01    -0.02  -0.01  -0.06     0.02  -0.02  -0.02
