 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        2.567499    0.872492   -2.487147
    2          6             0        1.960834   -0.440979   -2.036289
    3          8             0        2.695591   -1.013939   -0.943429
    4         15             0        2.399704   -0.687150    0.586807
    5         16             0        2.675259    1.154757    1.212067
    6          8             0        3.311863   -1.772515    1.290401
    7          6             0        4.668521   -1.504590    1.708118
    8          6             0        5.602335   -1.325458    0.529020
    9         16             0        0.483058   -1.522338    0.889725
   10          6             0       -0.314076   -0.197971    1.879131
   11         16             0       -2.088027   -0.145549    1.588028
   12         15             0       -2.071363    0.663824   -0.392694
   13         16             0       -0.677388    1.991181   -0.737240
   14          8             0       -3.572951    1.149635   -0.570955
   15          6             0       -4.085841    2.325941    0.091426
   16          6             0       -5.341716    2.765151   -0.636169
   17          8             0       -1.977056   -0.552725   -1.386010
   18          6             0       -2.901339   -1.672737   -1.379806
   19          6             0       -3.935307   -1.524961   -2.477290
   20          1             0        2.025481    1.233964   -3.355096
   21          1             0        2.488417    1.616700   -1.696810
   22          1             0        3.614475    0.735134   -2.742711
   23          1             0        2.014756   -1.196104   -2.822642
   24          1             0        0.915021   -0.301564   -1.741052
   25          1             0        4.667984   -0.609713    2.338309
   26          1             0        4.934252   -2.379590    2.303027
   27          1             0        5.324300   -0.433403   -0.030951
   28          1             0        6.619845   -1.211784    0.891291
   29          1             0        5.547752   -2.186141   -0.132251
   30          1             0        0.137617    0.761031    1.608623
   31          1             0       -0.183986   -0.411779    2.937040
   32          1             0       -4.297964    2.066052    1.131652
   33          1             0       -3.317237    3.105013    0.064442
   34          1             0       -5.735519    3.655681   -0.156720
   35          1             0       -5.114337    2.991367   -1.674247
   36          1             0       -6.090927    1.979688   -0.600818
   37          1             0       -2.268824   -2.547479   -1.541373
   38          1             0       -3.373380   -1.736166   -0.395974
   39          1             0       -3.447156   -1.422495   -3.442531
   40          1             0       -4.563649   -2.410494   -2.487497
   41          1             0       -4.553418   -0.648805   -2.301236
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    53.3978                54.4068                58.3765
 Red. masses --    24.6094                23.8770                23.1736
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.6557                 2.4481                 1.2963
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.03   0.09   0.09     0.02  -0.13  -0.00     0.20   0.01  -0.07
   2   6     0.09   0.06   0.07    -0.03  -0.10   0.01     0.19   0.00  -0.10
   3   8     0.16   0.07   0.05    -0.02  -0.18  -0.02     0.16   0.02  -0.07
   4  15     0.20  -0.03   0.10     0.06  -0.15  -0.04     0.00   0.08  -0.15
   5  16     0.34  -0.12   0.31     0.14  -0.11  -0.21     0.04   0.07  -0.15
   6   8     0.07  -0.11   0.02     0.04  -0.09  -0.00    -0.15   0.02   0.04
   7   6     0.06  -0.15   0.04     0.02  -0.05   0.03    -0.15  -0.05   0.16
   8   6     0.07  -0.10   0.05     0.04  -0.03   0.06    -0.04  -0.10   0.24
   9  16     0.10   0.13  -0.09     0.03  -0.04   0.08    -0.13   0.24  -0.59
  10   6     0.06   0.12  -0.10     0.04   0.05  -0.03     0.03  -0.05  -0.02
  11  16     0.08   0.10  -0.08     0.06   0.06   0.02     0.01   0.00   0.21
  12  15    -0.18   0.01  -0.13    -0.08   0.17   0.07    -0.05  -0.07   0.18
  13  16    -0.29   0.04  -0.41    -0.38   0.52   0.20    -0.06  -0.07   0.13
  14   8    -0.16  -0.04   0.05    -0.12  -0.08   0.05    -0.04  -0.06   0.12
  15   6    -0.10  -0.03   0.06    -0.18  -0.06  -0.03    -0.01   0.01   0.01
  16   6    -0.10   0.01   0.10    -0.14  -0.11  -0.14     0.04   0.02  -0.08
  17   8    -0.19  -0.02  -0.06     0.12   0.16   0.01    -0.03  -0.06   0.14
  18   6    -0.15  -0.02   0.01     0.21   0.05  -0.03    -0.02  -0.05   0.09
  19   6    -0.17  -0.05   0.03     0.22  -0.04  -0.05     0.03  -0.06   0.04
  20   1    -0.00   0.03   0.03     0.01  -0.03   0.00     0.07   0.00  -0.03
  21   1     0.01   0.02   0.03     0.02  -0.03  -0.00     0.05  -0.00  -0.02
  22   1     0.01   0.04   0.02     0.00  -0.05  -0.00     0.06   0.00  -0.01
  23   1     0.03   0.02   0.02    -0.03  -0.03  -0.00     0.07  -0.00  -0.03
  24   1     0.03   0.00   0.03    -0.00  -0.02   0.01     0.05  -0.00  -0.04
  25   1     0.02  -0.05   0.02    -0.01  -0.01   0.01    -0.05  -0.01   0.04
  26   1     0.01  -0.05   0.00     0.01  -0.01   0.01    -0.07  -0.02   0.05
  27   1     0.02  -0.02   0.03     0.01  -0.01   0.01     0.01  -0.03   0.06
  28   1     0.02  -0.03   0.02     0.01   0.00   0.02    -0.02  -0.04   0.09
  29   1     0.02  -0.02   0.00     0.02  -0.01   0.02    -0.01  -0.03   0.07
  30   1     0.01   0.03  -0.04     0.01   0.01  -0.03     0.00   0.00   0.03
  31   1     0.03   0.05  -0.03     0.02   0.03  -0.01     0.04  -0.07  -0.02
  32   1    -0.02  -0.01   0.02    -0.07  -0.01  -0.01    -0.02   0.02   0.00
