 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        3.269404    1.874338    2.214598
    2          6             0        2.402939    1.867037    0.972453
    3          8             0        1.544978    0.706716    0.905654
    4         15             0        2.065354   -0.785364    0.786819
    5         16             0        2.519493   -1.738250    2.436626
    6          8             0        3.257797   -0.632550   -0.263236
    7          6             0        4.319190   -1.596790   -0.363980
    8          6             0        3.885640   -2.834695   -1.122186
    9         16             0        0.425766   -1.645178   -0.234312
   10          6             0        0.390610   -0.660635   -1.764301
   11         16             0       -0.245820    1.034185   -1.581861
   12         15             0       -2.067405    0.580984   -0.627688
   13         16             0       -3.028938   -1.014925   -1.248220
   14          8             0       -2.878194    1.942354   -0.743129
   15          6             0       -3.583145    2.322379   -1.944954
   16          6             0       -4.577456    3.407963   -1.582514
   17          8             0       -1.635098    0.614519    0.895587
   18          6             0       -2.268879   -0.187758    1.908185
   19          6             0       -3.595261    0.403973    2.336154
   20          1             0        3.840118    2.797458    2.247139
   21          1             0        2.654493    1.800227    3.108392
   22          1             0        3.957510    1.029855    2.201117
   23          1             0        3.014066    1.894017    0.067928
   24          1             0        1.698831    2.700711    0.966715
   25          1             0        5.115175   -1.062735   -0.885232
   26          1             0        4.646840   -1.861835    0.646620
   27          1             0        4.738085   -3.495873   -1.242115
   28          1             0        3.108556   -3.358344   -0.566644
   29          1             0        3.500449   -2.568381   -2.102913
   30          1             0       -0.259401   -1.217287   -2.437841
   31          1             0        1.394701   -0.565947   -2.169728
   32          1             0       -2.850561    2.682307   -2.672285
   33          1             0       -4.085044    1.436952   -2.349220
   34          1             0       -4.058140    4.258168   -1.149957
   35          1             0       -5.100127    3.724715   -2.479376
   36          1             0       -5.299337    3.033239   -0.862420
   37          1             0       -2.401339   -1.203518    1.519047
   38          1             0       -1.545618   -0.204350    2.725939
   39          1             0       -3.461928    1.434224    2.654909
   40          1             0       -4.296622    0.378370    1.503264
   41          1             0       -3.998377   -0.180436    3.157591
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    45.4143                47.7713                53.2854
 Red. masses --    25.5312                18.3385                21.6314
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     3.1001                 0.3646                 3.8683
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.03   0.03   0.06    -0.20   0.05   0.03    -0.01   0.02   0.03
   2   6     0.02  -0.01   0.07    -0.28  -0.01   0.08    -0.04  -0.05   0.05
   3   8     0.07  -0.05   0.12    -0.23  -0.09   0.16     0.00  -0.10   0.16
   4  15     0.16  -0.04   0.08    -0.14  -0.05   0.04     0.02  -0.11  -0.03
   5  16     0.59  -0.02  -0.02     0.05  -0.15  -0.07     0.11  -0.40  -0.22
   6   8    -0.03   0.00  -0.10    -0.15   0.15   0.01    -0.02   0.02  -0.04
   7   6    -0.00   0.04  -0.15    -0.04   0.23  -0.04     0.01   0.05  -0.06
   8   6    -0.01   0.02  -0.11     0.07   0.21  -0.07     0.01   0.02  -0.00
   9  16    -0.02  -0.04   0.37    -0.05  -0.21   0.02    -0.04   0.06  -0.09
  10   6    -0.06  -0.11   0.16    -0.01  -0.20  -0.04     0.00   0.13   0.01
  11  16     0.02  -0.13   0.13     0.15  -0.26  -0.20     0.02   0.21   0.18
  12  15    -0.13   0.04  -0.08     0.15   0.05  -0.02     0.01   0.08   0.09
  13  16    -0.21   0.13  -0.21    -0.11   0.13   0.20     0.29  -0.15   0.24
  14   8    -0.00   0.08  -0.10     0.23   0.11  -0.07    -0.13  -0.04  -0.09
  15   6    -0.00   0.08  -0.08     0.08   0.03  -0.01    -0.05  -0.15  -0.15
  16   6    -0.02   0.06  -0.07     0.01  -0.05   0.05    -0.08  -0.12  -0.29
  17   8    -0.18  -0.01  -0.03     0.16   0.09  -0.03    -0.08   0.23   0.08
  18   6    -0.19  -0.02  -0.06     0.16   0.09  -0.00    -0.07   0.22   0.09
  19   6    -0.18  -0.01  -0.06     0.14   0.06  -0.01    -0.10   0.19   0.02
  20   1     0.00   0.01   0.01    -0.07   0.02  -0.01    -0.00   0.01  -0.01
  21   1     0.01   0.01   0.02    -0.04   0.01   0.02     0.00   0.02   0.01
  22   1     0.02   0.01   0.02    -0.05   0.02  -0.00    -0.00   0.01   0.02
  23   1     0.00  -0.00   0.02    -0.10   0.01   0.01    -0.02  -0.02   0.01
  24   1    -0.00  -0.01   0.02    -0.10  -0.02   0.04    -0.02  -0.02   0.01
  25   1    -0.01   0.02  -0.06    -0.03   0.09  -0.01    -0.01   0.02  -0.03
  26   1     0.02   0.02  -0.05     0.00   0.07  -0.02     0.02   0.02  -0.02
  27   1    -0.00   0.01  -0.04     0.03   0.08  -0.02     0.00   0.01  -0.00
  28   1     0.00   0.00  -0.02     0.03   0.04  -0.02     0.01   0.01   0.01
  29   1    -0.02  -0.00  -0.03     0.01   0.06  -0.02    -0.01  -0.01   0.00
  30   1    -0.03  -0.04   0.06    -0.01  -0.06  -0.00     0.00   0.05  -0.01
  31   1    -0.02  -0.05   0.03    -0.00  -0.08  -0.02     0.00   0.04   0.01
