 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        4.218598   -1.357212   -2.410232
    2          6             0        4.709016   -1.122459   -0.995929
    3          8             0        3.642110   -1.153348   -0.031630
    4         15             0        2.572471    0.013503    0.125431
    5         16             0        3.252571    1.812234   -0.231761
    6          8             0        2.112801   -0.128714    1.628814
    7          6             0        1.263668   -1.156367    2.189085
    8          6             0        1.829861   -2.549379    2.014782
    9         16             0        0.913240   -0.619193   -1.061626
   10          6             0        0.115977    0.995035   -1.232726
   11         16             0       -0.731464    1.567719    0.271258
   12         15             0       -2.450964    0.354239    0.093907
   13         16             0       -3.161483    0.026144   -1.706589
   14          8             0       -3.502316    0.974684    1.115265
   15          6             0       -4.534169    1.900080    0.729634
   16          6             0       -3.983804    3.271183    0.393889
   17          8             0       -1.953771   -0.916103    0.901636
   18          6             0       -2.643289   -2.189504    0.843872
   19          6             0       -1.850838   -3.167055   -0.000610
   20          1             0        3.631200   -2.269925   -2.463205
   21          1             0        3.603071   -0.521102   -2.737541
   22          1             0        5.074855   -1.442555   -3.072324
   23          1             0        5.218434   -0.156449   -0.920554
   24          1             0        5.378264   -1.919359   -0.667555
   25          1             0        1.196665   -0.876178    3.241449
   26          1             0        0.275255   -1.074563    1.728571
   27          1             0        1.873320   -2.811084    0.959198
   28          1             0        2.832866   -2.603396    2.429792
   29          1             0        1.189317   -3.257063    2.533076
   30          1             0       -0.609744    0.902086   -2.040958
   31          1             0        0.873147    1.746840   -1.458234
   32          1             0       -5.072336    1.482218   -0.127318
   33          1             0       -5.191598    1.935084    1.599756
   34          1             0       -4.810119    3.953317    0.218386
   35          1             0       -3.374432    3.647467    1.211618
   36          1             0       -3.371510    3.219975   -0.505486
   37          1             0       -2.718884   -2.520054    1.880956
   38          1             0       -3.645750   -2.040110    0.433203
   39          1             0       -2.343295   -4.133991    0.014080
   40          1             0       -1.791374   -2.812083   -1.027325
   41          1             0       -0.842613   -3.269040    0.390118
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    48.5181                53.8480                59.6949
 Red. masses --    23.6499                22.5531                22.3753
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     5.2075                 1.4336                 1.3103
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.05  -0.09  -0.09    -0.14   0.01  -0.10    -0.08  -0.04  -0.05
   2   6    -0.05  -0.12  -0.08    -0.13   0.02  -0.10    -0.05  -0.09  -0.05
   3   8    -0.07  -0.09  -0.11    -0.13  -0.03  -0.10    -0.04  -0.12  -0.03
   4  15     0.09   0.03  -0.08    -0.16  -0.04   0.04     0.06  -0.08   0.09
   5  16     0.37  -0.08  -0.10    -0.14   0.01   0.36     0.19  -0.16  -0.05
   6   8     0.08   0.06  -0.04    -0.10  -0.17   0.01     0.17  -0.02   0.11
   7   6     0.02   0.10  -0.02    -0.05  -0.19  -0.02     0.11   0.02   0.12
   8   6    -0.04   0.08   0.02     0.00  -0.16  -0.07     0.07   0.01   0.13
   9  16    -0.06   0.29  -0.01    -0.14   0.15  -0.09    -0.16   0.01   0.34
  10   6    -0.02   0.21   0.20     0.01   0.13  -0.08     0.02   0.04   0.02
  11  16    -0.12   0.00   0.41     0.01   0.27  -0.16    -0.21   0.34  -0.21
  12  15    -0.04  -0.06   0.07     0.17   0.03  -0.01    -0.03   0.09  -0.16
  13  16     0.36  -0.06  -0.09     0.27  -0.33   0.02    -0.15   0.16  -0.13
  14   8    -0.20  -0.10  -0.09     0.06   0.01  -0.07    -0.03  -0.13  -0.01
  15   6    -0.13  -0.07  -0.15     0.04  -0.02  -0.09    -0.10  -0.15   0.10
  16   6    -0.08  -0.08  -0.12     0.00  -0.01  -0.08    -0.19  -0.11   0.13
  17   8    -0.10  -0.03   0.11     0.18   0.12   0.12     0.19   0.07  -0.23
  18   6    -0.09  -0.03   0.05     0.15   0.10   0.19     0.18   0.05  -0.07
  19   6    -0.07  -0.01   0.05     0.07   0.06   0.15     0.16  -0.01  -0.02
  20   1    -0.02  -0.02  -0.03    -0.03   0.00  -0.03    -0.02  -0.01  -0.02
  21   1    -0.01  -0.02  -0.02    -0.04   0.00  -0.03    -0.02  -0.01  -0.00
  22   1    -0.02  -0.03  -0.03    -0.04   0.01  -0.03    -0.03  -0.00  -0.02
  23   1    -0.01  -0.04  -0.02    -0.04   0.01  -0.03    -0.01  -0.03  -0.01
  24   1    -0.02  -0.04  -0.02    -0.03   0.01  -0.03    -0.01  -0.03  -0.02
  25   1     0.00   0.04  -0.01    -0.02  -0.07  -0.00     0.04   0.01   0.03
  26   1     0.01   0.04  -0.01    -0.01  -0.06  -0.01     0.03   0.01   0.04
  27   1    -0.01   0.01   0.01     0.00  -0.04  -0.02     0.02  -0.00   0.04
  28   1    -0.01   0.01   0.01     0.00  -0.04  -0.02     0.02  -0.01   0.03
  29   1    -0.02   0.03   0.01     0.01  -0.06  -0.02     0.02   0.01   0.04
  30   1    -0.00   0.09   0.05     0.01   0.05  -0.03     0.03   0.01  -0.02
  31   1    -0.00   0.07   0.09     0.01   0.03  -0.02     0.02  -0.00   0.01
