 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        5.304129   -2.537732   -1.373168
    2          6             0        4.288242   -1.432126   -1.579991
    3          8             0        3.324867   -1.509206   -0.509802
    4         15             0        2.344435   -0.307660   -0.160480
    5         16             0        3.224242    1.444077   -0.027909
    6          8             0        1.645243   -0.860234    1.145167
    7          6             0        2.163732   -0.616730    2.476211
    8          6             0        1.264810    0.358878    3.208917
    9         16             0        0.792346   -0.500413   -1.576769
   10          6             0        0.110166    1.173023   -1.391517
   11         16             0       -0.685839    1.445892    0.205541
   12         15             0       -2.596368    0.557885   -0.213756
   13         16             0       -3.005124    0.264966   -2.102475
   14          8             0       -3.643470    1.537397    0.430862
   15          6             0       -3.605433    1.945836    1.823062
   16          6             0       -4.588050    1.138095    2.646493
   17          8             0       -2.671514   -0.684732    0.782194
   18          6             0       -1.740896   -1.778132    0.816585
   19          6             0       -1.949602   -2.750875   -0.326168
   20          1             0        6.024702   -2.514612   -2.184198
   21          1             0        5.822804   -2.399690   -0.428789
   22          1             0        4.804411   -3.502001   -1.363244
   23          1             0        3.756676   -1.552278   -2.527749
   24          1             0        4.758620   -0.443280   -1.555582
   25          1             0        2.177407   -1.594615    2.959813
   26          1             0        3.183027   -0.228193    2.401497
   27          1             0        0.244699   -0.014145    3.229449
   28          1             0        1.624032    0.481258    4.225605
   29          1             0        1.272990    1.324506    2.707471
   30          1             0       -0.621573    1.295383   -2.191083
   31          1             0        0.918044    1.900207   -1.466351
   32          1             0       -2.584041    1.836120    2.196925
   33          1             0       -3.876581    3.002760    1.806094
   34          1             0       -5.590078    1.246370    2.240714
   35          1             0       -4.318807    0.085536    2.633323
   36          1             0       -4.574756    1.500676    3.669700
   37          1             0       -0.721093   -1.381465    0.807094
   38          1             0       -1.934157   -2.254615    1.779740
   39          1             0       -1.741479   -2.270450   -1.280464
   40          1             0       -1.274760   -3.592058   -0.203689
   41          1             0       -2.976066   -3.107898   -0.333413
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    43.2038                47.5212                47.7342
 Red. masses --    23.1145                21.7726                15.9334
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     3.0021                 2.7935                 1.9452
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.14  -0.14   0.02     0.07  -0.10   0.16    -0.01  -0.10   0.39
   2   6    -0.13  -0.14  -0.07     0.05  -0.13   0.05     0.04  -0.10   0.20
   3   8    -0.20  -0.09  -0.12     0.03  -0.07   0.04    -0.12  -0.02   0.09
   4  15    -0.02   0.05  -0.08     0.14   0.01  -0.03    -0.12   0.08  -0.10
   5  16     0.33  -0.13  -0.06     0.29  -0.03  -0.38    -0.02   0.03  -0.16
   6   8    -0.06   0.11  -0.05     0.13   0.17   0.06    -0.23   0.17  -0.10
   7   6    -0.03   0.05  -0.04     0.15   0.21   0.03    -0.18   0.03  -0.07
   8   6    -0.04   0.02  -0.00     0.10   0.15   0.04    -0.20  -0.06   0.04
   9  16    -0.11   0.39  -0.03    -0.00  -0.07   0.15     0.01   0.08  -0.25
  10   6     0.01   0.25   0.14    -0.02  -0.05   0.12    -0.01   0.04  -0.15
  11  16    -0.08   0.17   0.22    -0.12  -0.14   0.16     0.12   0.10  -0.18
  12  15     0.08  -0.08   0.04    -0.16   0.03  -0.01     0.11  -0.00   0.06
  13  16     0.34  -0.22   0.00    -0.13   0.35  -0.07    -0.12   0.05   0.11
  14   8    -0.08  -0.13  -0.08    -0.10  -0.01   0.06     0.11  -0.04   0.16
  15   6    -0.14  -0.04  -0.09    -0.09  -0.11   0.08     0.13  -0.12   0.16
  16   6    -0.13  -0.05  -0.08    -0.10  -0.16   0.02     0.12  -0.15   0.12
  17   8     0.08  -0.03   0.06    -0.17  -0.08  -0.14     0.19  -0.02   0.03
  18   6     0.07  -0.02   0.07    -0.09  -0.02  -0.12     0.13  -0.05  -0.07
  19   6     0.05  -0.06   0.10     0.00   0.01  -0.16     0.04   0.00  -0.10
  20   1    -0.03  -0.05   0.01     0.03  -0.04   0.05     0.02  -0.05   0.13
  21   1    -0.05  -0.03   0.01     0.01  -0.01   0.05    -0.03  -0.02   0.13
  22   1    -0.04  -0.04   0.01     0.02  -0.03   0.06    -0.01  -0.03   0.11
  23   1    -0.03  -0.05  -0.02     0.02  -0.06   0.01     0.04  -0.04   0.04
  24   1    -0.03  -0.04  -0.03     0.01  -0.04  -0.00     0.02  -0.03   0.06
  25   1    -0.01   0.01  -0.02     0.07   0.06   0.01    -0.04  -0.00  -0.04
  26   1    -0.01   0.02  -0.01     0.03   0.08  -0.01    -0.06   0.02  -0.01
  27   1    -0.01   0.00  -0.00     0.04   0.02   0.02    -0.05  -0.03   0.01
  28   1    -0.01  -0.00  -0.00     0.03   0.05   0.01    -0.05  -0.04   0.01
  29   1    -0.01   0.01   0.01     0.00   0.04   0.01    -0.07  -0.01   0.04
  30   1     0.02   0.11   0.04    -0.00  -0.01   0.03    -0.01   0.01  -0.03
  31   1     0.01   0.06   0.07    -0.01  -0.01   0.04    -0.01   0.01  -0.06
