 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        5.506229   -0.291440   -1.006646
    2          6             0        4.131089    0.229626   -1.370792
    3          8             0        3.410221    0.657037   -0.183661
    4         15             0        2.338164   -0.224114    0.559086
    5         16             0        1.770423    0.572427    2.252520
    6          8             0        3.033989   -1.646576    0.667986
    7          6             0        2.384529   -2.745992    1.340523
    8          6             0        3.438095   -3.785342    1.667260
    9         16             0        0.796800   -0.612594   -0.876878
   10          6             0        0.208559    1.084775   -1.129631
   11         16             0       -0.914774    1.713102    0.154925
   12         15             0       -2.658855    0.571938   -0.308981
   13         16             0       -2.659533   -0.321768   -2.057508
   14          8             0       -3.880088    1.545378   -0.060654
   15          6             0       -4.517833    2.279304   -1.120548
   16          6             0       -3.660888    3.428759   -1.612778
   17          8             0       -2.915349   -0.305698    0.986215
   18          6             0       -1.953572   -1.174749    1.602768
   19          6             0       -1.891384   -2.526338    0.917586
   20          1             0        6.059153    0.463928   -0.454854
   21          1             0        5.423815   -1.184190   -0.392860
   22          1             0        6.044189   -0.531729   -1.918838
   23          1             0        3.543447   -0.532298   -1.888694
   24          1             0        4.201563    1.128647   -1.985937
   25          1             0        1.903114   -2.364186    2.246897
   26          1             0        1.621831   -3.148639    0.668518
   27          1             0        4.187604   -3.363824    2.331137
   28          1             0        2.963248   -4.629699    2.156185
   29          1             0        3.922412   -4.125455    0.756569
   30          1             0       -0.313041    1.067732   -2.085911
   31          1             0        1.053991    1.768471   -1.143388
   32          1             0       -4.745436    1.588712   -1.939243
   33          1             0       -5.445326    2.635964   -0.669882
   34          1             0       -2.771747    3.044029   -2.110117
   35          1             0       -4.231009    4.023265   -2.319813
   36          1             0       -3.354952    4.055357   -0.778832
   37          1             0       -0.972096   -0.686024    1.609718
   38          1             0       -2.303927   -1.268646    2.632546
   39          1             0       -1.208440   -3.169848    1.463565
   40          1             0       -2.878836   -2.979785    0.902717
   41          1             0       -1.540488   -2.419874   -0.107421
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    43.1372                47.6791                50.5828
 Red. masses --    24.7526                23.4503                21.4586
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     4.9811                 2.6937                 1.9608
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.02  -0.16  -0.12    -0.05  -0.05  -0.08    -0.08   0.18  -0.14
   2   6     0.03  -0.14  -0.10    -0.06  -0.03  -0.04    -0.13   0.11  -0.05
   3   8     0.11  -0.05  -0.12    -0.02  -0.05  -0.01    -0.10   0.04   0.01
   4  15     0.18   0.08   0.04    -0.07  -0.04  -0.04     0.07  -0.11   0.12
   5  16     0.46   0.35   0.01     0.11  -0.21   0.09     0.24  -0.35   0.29
   6   8     0.06   0.02   0.06    -0.15  -0.09  -0.18     0.15  -0.04  -0.06
   7   6    -0.01   0.04   0.03    -0.10  -0.05  -0.08     0.22  -0.07  -0.02
   8   6    -0.08  -0.03  -0.01    -0.08  -0.01  -0.02     0.29  -0.00  -0.03
   9  16    -0.03   0.04   0.27    -0.19   0.31  -0.01    -0.10  -0.19   0.32
  10   6    -0.04   0.02   0.19     0.01   0.25   0.11     0.00  -0.11   0.03
  11  16    -0.19  -0.08   0.26    -0.11   0.29   0.15    -0.04   0.06  -0.11
  12  15    -0.13  -0.04  -0.07     0.11   0.01   0.04    -0.08   0.11  -0.09
  13  16     0.08   0.16  -0.17     0.47  -0.12   0.10    -0.10   0.06  -0.07
  14   8    -0.12  -0.07  -0.06    -0.05  -0.12  -0.11    -0.03   0.11  -0.10
  15   6    -0.06  -0.00  -0.04    -0.03  -0.16  -0.15    -0.05   0.04  -0.11
  16   6    -0.02  -0.01   0.02    -0.05  -0.14  -0.15    -0.07   0.02  -0.17
  17   8    -0.17  -0.14  -0.14     0.06   0.05   0.05    -0.08   0.11  -0.05
  18   6    -0.14  -0.09  -0.08     0.05   0.06   0.07    -0.08   0.11   0.00
  19   6    -0.09  -0.09  -0.09     0.04   0.03   0.12    -0.06   0.09   0.05
  20   1     0.02  -0.04  -0.05    -0.01  -0.02  -0.02    -0.02   0.06  -0.05
  21   1     0.01  -0.04  -0.02    -0.01  -0.02  -0.02     0.00   0.05  -0.05
  22   1    -0.00  -0.06  -0.04    -0.02  -0.02  -0.03    -0.03   0.07  -0.05
  23   1    -0.01  -0.04  -0.01    -0.02  -0.01  -0.01    -0.03   0.03  -0.01
  24   1     0.01  -0.05  -0.05    -0.02  -0.01  -0.01    -0.06   0.04  -0.01
  25   1     0.01   0.01   0.01    -0.03  -0.00  -0.03     0.06  -0.03  -0.00
  26   1    -0.01   0.03   0.01    -0.03  -0.03  -0.02     0.07  -0.04   0.00
  27   1    -0.01  -0.03  -0.00    -0.03   0.01  -0.01     0.08   0.01  -0.02
  28   1    -0.04  -0.00  -0.01    -0.02   0.00   0.01     0.10  -0.01  -0.00
  29   1    -0.03  -0.01  -0.01    -0.02  -0.01  -0.00     0.08   0.00  -0.01
  30   1     0.00   0.01   0.05     0.02   0.11   0.02     0.01  -0.05   0.00
  31   1    -0.01   0.01   0.07     0.01   0.06   0.07     0.01  -0.04  -0.00
  32   1    -0.01   0.01  -0.02     0.01  -0.06  -0.04    -0.02  -0.00  -0.02
  33   1    -0.02   0.00  -0.02    -0.02  -0.05  -0.06    -0.02   0.01  -0.03
  34   1    -0.00  -0.00   0.01    -0.01  -0.04  -0.03    -0.02   0.00  -0.04
  35   1     0.01   0.01   0.01    -0.02  -0.05  -0.05    -0.02  -0.00  -0.05
  36   1    -0.01  -0.01   0.01    -0.03  -0.03  -0.05    -0.02   0.02  -0.06
  37   1    -0.05  -0.02  -0.02     0.02   0.01   0.02    -0.02   0.03   0.00
  38   1    -0.05  -0.03  -0.03     0.01   0.03   0.02    -0.03   0.04   0.00
  39   1    -0.02  -0.02  -0.02     0.01   0.01   0.04    -0.01   0.04   0.02
  40   1    -0.02  -0.03  -0.03     0.01   0.01   0.04    -0.01   0.02   0.02
  41   1    -0.02  -0.02  -0.02     0.01  -0.00   0.03    -0.02   0.02   0.01
                      4                      5                      6
                        a                      a                      a 
 Frequencies --    59.0016                59.5484                65.1516
 Red. masses --    20.3070                17.6864                20.0188
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     3.1268                 4.8978                 0.1708
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.18   0.07   0.12    -0.04   0.03  -0.02    -0.19   0.10  -0.19
   2   6     0.19   0.06   0.04    -0.03   0.10   0.04    -0.22   0.08  -0.12
   3   8     0.13   0.03  -0.00     0.01   0.09   0.08    -0.21   0.07  -0.10
   4  15     0.12  -0.00  -0.14     0.05   0.12   0.13    -0.15   0.01  -0.04
   5  16     0.05  -0.17  -0.10     0.06   0.19   0.11    -0.25   0.10  -0.11
   6   8     0.06  -0.02  -0.16     0.06   0.10   0.11     0.02   0.08   0.06
   7   6     0.05   0.01  -0.09    -0.09  -0.00  -0.19     0.06   0.04   0.05
   8   6     0.06   0.05   0.03    -0.21  -0.21  -0.45     0.10   0.06  -0.01
   9  16     0.17   0.12  -0.23     0.06  -0.04   0.17    -0.13  -0.18   0.01
  10   6    -0.06   0.05   0.06     0.02  -0.06  -0.04     0.01  -0.07   0.09
  11  16    -0.09  -0.25   0.28     0.00   0.05  -0.16     0.14  -0.19   0.28
  12  15    -0.19  -0.02   0.09     0.01  -0.05   0.03     0.12  -0.04   0.04
  13  16    -0.13  -0.17   0.17     0.01  -0.40   0.20     0.35   0.03  -0.00
  14   8    -0.07   0.10  -0.08     0.02  -0.00  -0.08     0.10   0.02  -0.07
  15   6     0.06   0.07  -0.16     0.09   0.01  -0.10     0.21   0.08  -0.08
  16   6     0.15   0.00  -0.15     0.11   0.03  -0.02     0.30   0.06   0.02
  17   8    -0.28   0.07   0.09     0.01   0.12   0.12    -0.07  -0.05  -0.02
  18   6    -0.25   0.06   0.11    -0.03  -0.01   0.02    -0.12  -0.06   0.05
  19   6    -0.16   0.08   0.08    -0.14   0.03  -0.06    -0.11  -0.07   0.07
  20   1     0.04   0.02   0.05     0.00  -0.00  -0.00    -0.05   0.03  -0.06
  21   1     0.04   0.02   0.03    -0.02   0.00  -0.01    -0.04   0.03  -0.05
  22   1     0.07   0.02   0.04    -0.02   0.01  -0.01    -0.07   0.03  -0.06
  23   1     0.07   0.02  -0.00    -0.02   0.04   0.01    -0.06   0.02  -0.03
  24   1     0.06   0.02   0.02    -0.00   0.03   0.02    -0.07   0.03  -0.03
  25   1     0.00   0.02  -0.04    -0.01  -0.05  -0.03     0.02   0.01   0.02
  26   1     0.03  -0.01  -0.03    -0.04   0.07  -0.08     0.01   0.01   0.02
  27   1     0.00   0.03   0.01    -0.04  -0.13  -0.11     0.03   0.02  -0.01
  28   1     0.01   0.02   0.01    -0.09  -0.07  -0.18     0.04   0.01   0.00
  29   1     0.03   0.00   0.02    -0.08  -0.02  -0.16     0.02   0.02  -0.01
  30   1    -0.03   0.02   0.02     0.01  -0.04  -0.01    -0.01   0.00   0.03
  31   1    -0.04   0.03   0.02     0.00  -0.01  -0.03     0.01  -0.03   0.03
