 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        5.829846   -1.379172   -1.430069
    2          6             0        4.498859   -0.662198   -1.530053
    3          8             0        3.794902   -0.860284   -0.285850
    4         15             0        2.549222    0.045776    0.100274
    5         16             0        2.847292    1.976666    0.040379
    6          8             0        2.176873   -0.451868    1.544710
    7          6             0        1.922179   -1.839232    1.880339
    8          6             0        3.177761   -2.513405    2.393122
    9         16             0        1.028029   -0.682064   -1.210592
   10          6             0       -0.067764    0.745529   -1.060581
   11         16             0       -0.876885    0.853740    0.561130
   12         15             0       -2.864518    0.252046    0.037316
   13         16             0       -3.202391    0.037385   -1.885948
   14          8             0       -3.765138    1.315344    0.785906
   15          6             0       -3.816952    2.682336    0.330052
   16          6             0       -4.992281    3.352085    1.012647
   17          8             0       -3.249978   -0.967977    0.961190
   18          6             0       -3.114310   -2.333623    0.525199
   19          6             0       -1.666148   -2.779400    0.518548
   20          1             0        5.670475   -2.439908   -1.259858
   21          1             0        6.376727   -1.243232   -2.357234
   22          1             0        6.412284   -0.972070   -0.608286
   23          1             0        3.884032   -1.068429   -2.337620
   24          1             0        4.632472    0.413244   -1.686532
   25          1             0        1.153134   -1.788432    2.653495
   26          1             0        1.531307   -2.351330    0.996422
   27          1             0        2.934829   -3.525565    2.701282
   28          1             0        3.933061   -2.546424    1.612945
   29          1             0        3.575162   -1.964725    3.242539
   30          1             0       -0.830780    0.648792   -1.836773
   31          1             0        0.525167    1.651343   -1.188044
   32          1             0       -2.872967    3.171309    0.590099
   33          1             0       -3.933231    2.685915   -0.759478
   34          1             0       -5.045510    4.388715    0.696645
   35          1             0       -5.915176    2.845565    0.745267
   36          1             0       -4.867043    3.308369    2.090494
   37          1             0       -3.705767   -2.897775    1.247733
   38          1             0       -3.555393   -2.430473   -0.472193
   39          1             0       -1.113342   -2.244917   -0.253689
   40          1             0       -1.211008   -2.580708    1.485568
   41          1             0       -1.617385   -3.843020    0.309083
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    11.8802                16.9655                25.3289
 Red. masses --    14.1610                13.7472                12.3478
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     2.1294                 1.5694                 0.4633
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.03  -0.25   0.14     0.24   0.38   0.27    -0.24  -0.27  -0.19
   2   6     0.02  -0.18   0.05     0.09   0.07   0.08    -0.05   0.10   0.02
   3   8    -0.02  -0.04   0.06     0.02   0.03   0.04    -0.00   0.11   0.06
   4  15     0.02   0.08  -0.08    -0.07  -0.05  -0.04    -0.05   0.08   0.09
   5  16     0.15   0.05  -0.31    -0.22  -0.03  -0.10    -0.15   0.10   0.19
   6   8    -0.05   0.21  -0.02    -0.08  -0.02  -0.03    -0.04   0.00   0.05
   7   6    -0.11   0.22   0.09    -0.04  -0.02  -0.01     0.06  -0.02   0.01
   8   6    -0.16   0.23   0.23    -0.04   0.01   0.01     0.09   0.07   0.05
   9  16     0.02   0.03  -0.04     0.04  -0.21  -0.09     0.03   0.04   0.02
  10   6     0.00   0.01  -0.01    -0.03  -0.16  -0.13    -0.01   0.01  -0.03
  11  16     0.01  -0.03  -0.01     0.05  -0.11  -0.17    -0.06   0.02  -0.07
  12  15     0.02  -0.04  -0.01    -0.02  -0.01  -0.01    -0.01  -0.07  -0.11
  13  16    -0.04   0.17  -0.03    -0.18  -0.02   0.02     0.06  -0.19  -0.12
  14   8     0.01  -0.11   0.10     0.08   0.04   0.03    -0.05  -0.04  -0.14
  15   6    -0.02  -0.06   0.20     0.13   0.04   0.03     0.02  -0.04  -0.13
  16   6     0.01  -0.12   0.31     0.33   0.17   0.24     0.38   0.17   0.30
  17   8     0.06  -0.11  -0.10    -0.02   0.02   0.02    -0.01  -0.03  -0.05
  18   6     0.03  -0.06  -0.20    -0.07   0.01   0.03     0.04  -0.03   0.00
  19   6     0.02  -0.09  -0.21    -0.08  -0.02  -0.05     0.05   0.00   0.04
  20   1    -0.03  -0.07   0.06     0.13   0.10   0.10    -0.15  -0.08  -0.10
  21   1     0.00  -0.10   0.04     0.08   0.12   0.09    -0.08  -0.08  -0.06
  22   1    -0.01  -0.06   0.03     0.02   0.17   0.08    -0.02  -0.17  -0.05
  23   1     0.00  -0.06   0.02     0.07  -0.04   0.02    -0.06   0.12   0.00
  24   1     0.03  -0.06  -0.01    -0.04   0.02  -0.00     0.06   0.03   0.05
  25   1    -0.05   0.09   0.01    -0.01  -0.01  -0.00     0.01  -0.03  -0.01
  26   1    -0.02   0.04   0.03    -0.01  -0.01  -0.00     0.04  -0.01  -0.01
  27   1    -0.06   0.08   0.09    -0.01   0.00   0.01     0.05   0.01   0.00
  28   1    -0.03   0.04   0.08    -0.01   0.00   0.00     0.04   0.04   0.03
  29   1    -0.06   0.08   0.06    -0.01   0.01  -0.00     0.00   0.02   0.02
  30   1    -0.00   0.00  -0.00    -0.02  -0.07  -0.03     0.00  -0.00  -0.01
  31   1    -0.00   0.00  -0.00    -0.02  -0.04  -0.06    -0.01   0.01  -0.01
