 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        2.863317   -2.562254    1.929620
    2          6             0        1.638640   -2.115205    1.156806
    3          8             0        1.673660   -0.695704    0.928267
    4         15             0        2.366592   -0.015083   -0.340805
    5         16             0        3.035667   -1.227628   -1.715315
    6          8             0        3.516511    0.889635    0.261103
    7          6             0        3.380950    1.704433    1.453220
    8          6             0        3.096532    3.150179    1.099161
    9         16             0        0.877708    1.369463   -0.954657
   10          6             0       -0.026835    0.260524   -2.064258
   11         16             0       -0.819517   -1.140620   -1.225549
   12         15             0       -2.123276   -0.009650   -0.002550
   13         16             0       -2.907755    1.614051   -0.777553
   14          8             0       -1.192717    0.186974    1.264288
   15          6             0       -1.345808    1.293398    2.175594
   16          6             0       -2.573863    1.138129    3.048308
   17          8             0       -3.167503   -1.078513    0.538276
   18          6             0       -4.433848   -1.334097   -0.094716
   19          6             0       -4.284738   -2.090094   -1.399584
   20          1             0        3.758998   -2.382496    1.336581
   21          1             0        2.942680   -2.015763    2.865567
   22          1             0        2.785398   -3.624347    2.139136
   23          1             0        0.716708   -2.279131    1.717633
   24          1             0        1.578668   -2.630635    0.193019
   25          1             0        2.591756    1.284224    2.080112
   26          1             0        4.345215    1.604947    1.954768
   27          1             0        2.131034    3.243495    0.605820
   28          1             0        3.090252    3.741393    2.009762
   29          1             0        3.865962    3.528839    0.432092
   30          1             0        0.663248   -0.170561   -2.789506
   31          1             0       -0.784782    0.873035   -2.551434
   32          1             0       -0.426904    1.278323    2.763516
   33          1             0       -1.397119    2.218895    1.592709
   34          1             0       -2.552305    0.181858    3.564217
   35          1             0       -2.599361    1.942432    3.777131
   36          1             0       -3.472933    1.187713    2.435344
   37          1             0       -4.982560   -1.918452    0.645391
   38          1             0       -4.937349   -0.376352   -0.261566
   39          1             0       -3.786356   -1.466917   -2.140751
   40          1             0       -3.697943   -2.992871   -1.250735
   41          1             0       -5.269340   -2.358027   -1.770369
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    47.3155                49.1001                51.8339
 Red. masses --    21.8760                21.1671                15.9764
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     4.2797                 2.1542                 1.6254
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.04  -0.16  -0.10    -0.12   0.08   0.08    -0.05   0.10  -0.08
   2   6     0.09  -0.09  -0.15    -0.11   0.10   0.08    -0.10  -0.06  -0.10
   3   8     0.16  -0.09  -0.08    -0.08   0.11   0.06    -0.31  -0.08  -0.18
   4  15     0.14   0.02  -0.07    -0.14   0.05   0.01    -0.09  -0.05  -0.04
   5  16     0.41   0.21  -0.10    -0.09  -0.09   0.16     0.22   0.01   0.06
   6   8    -0.03   0.14   0.01    -0.14   0.11  -0.04    -0.14  -0.09   0.20
   7   6    -0.12   0.07   0.03    -0.12   0.12  -0.05    -0.25  -0.10   0.17
   8   6    -0.18   0.07   0.05    -0.16   0.10  -0.08    -0.24  -0.10   0.18
   9  16    -0.07  -0.20  -0.07    -0.15  -0.04  -0.20     0.11   0.02  -0.29
  10   6    -0.02  -0.23   0.05    -0.02  -0.08  -0.11     0.01  -0.01  -0.11
  11  16    -0.09  -0.23   0.27    -0.01  -0.12  -0.13     0.01   0.06  -0.08
  12  15    -0.06   0.02   0.07     0.17  -0.07   0.03     0.11   0.09  -0.01
  13  16     0.21   0.06  -0.12     0.44   0.15   0.25    -0.05   0.00  -0.03
  14   8    -0.08  -0.00   0.08     0.12  -0.25   0.06     0.17   0.16  -0.08
  15   6    -0.08   0.01   0.06     0.18  -0.22   0.07     0.08   0.09  -0.03
  16   6    -0.10   0.03   0.03     0.14  -0.13   0.04     0.11  -0.03  -0.00
  17   8    -0.17   0.14   0.06     0.02   0.01  -0.07     0.16   0.05   0.12
  18   6    -0.13   0.16   0.00     0.01   0.11  -0.09     0.10  -0.03   0.21
  19   6    -0.11   0.14   0.01    -0.01   0.11  -0.10     0.04  -0.07   0.22
  20   1     0.02  -0.05  -0.01    -0.03   0.02   0.02    -0.02   0.05  -0.03
  21   1    -0.00  -0.06  -0.02    -0.03   0.03   0.02    -0.03   0.04  -0.03
  22   1    -0.00  -0.05  -0.04    -0.04   0.03   0.03     0.02   0.03  -0.02
  23   1     0.02  -0.03  -0.06    -0.03   0.04   0.03    -0.02  -0.04  -0.03
  24   1     0.04  -0.01  -0.05    -0.04   0.02   0.03    -0.01  -0.03  -0.02
  25   1    -0.04   0.00  -0.01    -0.03   0.03  -0.01    -0.09  -0.04   0.02
  26   1    -0.04   0.03   0.02    -0.03   0.04  -0.02    -0.09  -0.03   0.08
  27   1    -0.05   0.01   0.00    -0.05   0.02  -0.02    -0.06  -0.03   0.03
  28   1    -0.07   0.01   0.02    -0.05   0.03  -0.03    -0.09  -0.03   0.05
  29   1    -0.05   0.03   0.03    -0.05   0.03  -0.03    -0.06  -0.03   0.07
  30   1    -0.00  -0.09   0.03     0.00  -0.03  -0.02    -0.01  -0.01  -0.03
  31   1    -0.00  -0.08  -0.01    -0.01  -0.03  -0.04     0.00  -0.00  -0.03
  32   1    -0.03   0.00   0.02     0.05  -0.09   0.03     0.03   0.04  -0.01
  33   1    -0.02   0.00   0.01     0.08  -0.06   0.03    -0.00   0.03   0.00
  34   1    -0.04   0.01   0.01     0.02  -0.04   0.01     0.05  -0.01  -0.01
  35   1    -0.03   0.01   0.01     0.05  -0.04   0.01     0.02  -0.02   0.01
  36   1    -0.03   0.01   0.00     0.05  -0.02   0.00     0.03  -0.02   0.01
  37   1    -0.05   0.05  -0.00    -0.01   0.04  -0.03     0.05  -0.01   0.08
  38   1    -0.03   0.05  -0.01     0.02   0.04  -0.03     0.02  -0.01   0.06
  39   1    -0.02   0.04   0.01     0.01   0.03  -0.03    -0.01  -0.02   0.05
  40   1    -0.04   0.04   0.01    -0.02   0.02  -0.03     0.02  -0.01   0.06
  41   1    -0.03   0.05  -0.00    -0.01   0.04  -0.03     0.01  -0.03   0.08
                      4                      5                      6
                        a                      a                      a 
 Frequencies --    50.8870                56.5175                68.9183
 Red. masses --    13.9835                16.3239                23.2255
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.1668                 2.6631                 1.0866
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.34   0.37   0.05    -0.40  -0.13   0.03    -0.03   0.02  -0.00
   2   6     0.19   0.00   0.07    -0.24   0.12  -0.07    -0.03  -0.05  -0.06
   3   8    -0.19  -0.03  -0.15     0.07   0.14  -0.04    -0.11  -0.05  -0.06
   4  15    -0.02  -0.09  -0.11     0.08   0.05  -0.13    -0.19   0.03  -0.05
   5  16    -0.01  -0.15  -0.05     0.00  -0.11  -0.03    -0.33   0.19  -0.27
   6   8     0.02  -0.14  -0.01     0.07   0.04  -0.13    -0.09  -0.06  -0.01
   7   6    -0.02  -0.10  -0.03     0.09  -0.02  -0.07    -0.03  -0.12   0.05
   8   6    -0.01  -0.10  -0.05     0.01  -0.01   0.02    -0.01  -0.10   0.14
   9  16     0.10  -0.00  -0.12     0.18   0.11  -0.29    -0.20   0.07   0.11
  10   6    -0.03  -0.02   0.01     0.00   0.00  -0.02    -0.04  -0.02   0.07
  11  16    -0.03   0.06   0.15     0.20   0.06   0.23     0.22  -0.12   0.21
  12  15    -0.05   0.10   0.07     0.07   0.01   0.12     0.16  -0.08   0.10
  13  16     0.11   0.19   0.08    -0.01  -0.06   0.04     0.31  -0.12  -0.14
  14   8    -0.12   0.02   0.11    -0.01   0.09   0.11     0.01  -0.01   0.14
  15   6    -0.19  -0.04   0.16    -0.21  -0.00   0.16     0.04   0.12  -0.02
  16   6    -0.21  -0.15   0.11    -0.28  -0.19   0.04    -0.05   0.32  -0.11
  17   8    -0.11   0.09  -0.03     0.08  -0.04   0.05     0.06  -0.01   0.05
  18   6    -0.01   0.00  -0.16     0.08  -0.05   0.02     0.10  -0.02  -0.06
