 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        4.422692   -1.015077   -2.340623
    2          6             0        4.543478   -1.420363   -0.885616
    3          8             0        3.261290   -1.573863   -0.251713
    4         15             0        2.323827   -0.346319    0.122188
    5         16             0        3.257503    1.282608    0.694367
    6          8             0        1.343585   -0.995421    1.186216
    7          6             0        1.607114   -0.933751    2.605302
    8          6             0        2.774143   -1.812560    3.004453
    9         16             0        1.003821   -0.181958   -1.522166
   10          6             0        0.352441    1.464067   -1.120626
   11         16             0       -0.724628    1.482117    0.331569
   12         15             0       -2.337289    0.362007   -0.521239
   13         16             0       -2.648656    0.661933   -2.425511
   14          8             0       -3.545022    0.713917    0.448746
   15          6             0       -4.203878    1.997861    0.406594
   16          6             0       -5.523564    1.867595    1.140898
   17          8             0       -2.057544   -1.149219   -0.183238
   18          6             0       -1.905129   -1.637220    1.173028
   19          6             0       -3.175815   -2.316611    1.639140
   20          1             0        5.407584   -1.026808   -2.797286
   21          1             0        3.770441   -1.702336   -2.873516
   22          1             0        4.009504   -0.010261   -2.417786
   23          1             0        5.119527   -0.675430   -0.326984
   24          1             0        5.005934   -2.403002   -0.781208
   25          1             0        1.796001    0.110053    2.875751
   26          1             0        0.675353   -1.271364    3.060891
   27          1             0        3.697410   -1.424300    2.576695
   28          1             0        2.862981   -1.818682    4.086487
   29          1             0        2.621329   -2.827785    2.647913
   30          1             0       -0.214501    1.789059   -1.993163
   31          1             0        1.177503    2.142154   -0.902723
   32          1             0       -3.550519    2.732011    0.885361
   33          1             0       -4.352996    2.278295   -0.640994
   34          1             0       -6.028276    2.828174    1.136202
   35          1             0       -6.154229    1.130987    0.651024
   36          1             0       -5.350692    1.559140    2.167895
   37          1             0       -1.068381   -2.336832    1.121083
   38          1             0       -1.643511   -0.796440    1.822140
   39          1             0       -3.993795   -1.601804    1.670717
   40          1             0       -3.438685   -3.120880    0.957704
   41          1             0       -3.016312   -2.725038    2.632296
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    44.0802                47.5863                51.8463
 Red. masses --    23.5358                21.4674                17.2381
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     3.5760                 2.1749                 1.0224
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.11   0.07   0.10    -0.05  -0.20  -0.02     0.04   0.13  -0.10
   2   6     0.14   0.09   0.11    -0.04  -0.18  -0.01     0.12   0.13  -0.11
   3   8     0.18   0.02   0.13    -0.04  -0.09   0.02     0.18   0.08  -0.06
   4  15     0.07  -0.07   0.06     0.14   0.03   0.03     0.17   0.03   0.01
   5  16    -0.18   0.11  -0.07     0.45  -0.05  -0.25     0.06   0.07   0.07
   6   8     0.09  -0.09   0.06     0.10   0.19   0.12     0.18  -0.07  -0.01
   7   6     0.06  -0.02   0.05     0.13   0.19   0.09     0.14  -0.08  -0.00
   8   6     0.09   0.03   0.09     0.09   0.14   0.08     0.14  -0.08  -0.01
   9  16     0.06  -0.40   0.03    -0.04   0.04   0.17     0.09  -0.00   0.07
  10   6     0.02  -0.21  -0.15    -0.03   0.01   0.16    -0.05  -0.06   0.12
  11  16     0.09  -0.10  -0.20    -0.17  -0.08   0.18    -0.15  -0.31   0.15
  12  15    -0.13   0.11  -0.06    -0.12   0.03  -0.05    -0.19  -0.09  -0.04
  13  16    -0.40   0.33   0.02    -0.01   0.29  -0.03     0.06  -0.12  -0.09
  14   8     0.03   0.08   0.10    -0.13  -0.07  -0.06    -0.19   0.06  -0.13
  15   6     0.00   0.06   0.13    -0.15  -0.08  -0.02     0.01   0.14  -0.10
  16   6    -0.01   0.01   0.10    -0.15  -0.13  -0.04     0.03   0.32  -0.04
  17   8    -0.13   0.05  -0.16    -0.08  -0.00  -0.14    -0.29  -0.08   0.02
  18   6     0.01  -0.01  -0.17    -0.01  -0.06  -0.15    -0.19  -0.02   0.03
  19   6     0.06  -0.04  -0.09     0.02  -0.09  -0.12    -0.20   0.09   0.14
  20   1     0.03   0.03   0.03    -0.02  -0.07  -0.01     0.00   0.05  -0.04
  21   1     0.04   0.01   0.03    -0.03  -0.05   0.00     0.01   0.03  -0.02
  22   1     0.02   0.01   0.03    -0.00  -0.05  -0.00     0.00   0.03  -0.02
  23   1     0.03   0.04   0.03     0.01  -0.06  -0.01     0.03   0.04  -0.04
  24   1     0.06   0.03   0.03    -0.03  -0.06  -0.00     0.05   0.04  -0.04
  25   1     0.01  -0.00   0.01     0.05   0.05   0.02     0.04  -0.02   0.00
  26   1     0.02  -0.01   0.01     0.04   0.07   0.04     0.04  -0.03  -0.00
  27   1     0.02   0.01   0.03     0.03   0.02   0.01     0.04  -0.02  -0.00
  28   1     0.02   0.02   0.03     0.04   0.05   0.02     0.04  -0.02  -0.00
  29   1     0.04   0.00   0.03     0.01   0.04   0.03     0.04  -0.02  -0.00
  30   1    -0.00  -0.09  -0.05     0.00   0.01   0.04    -0.01  -0.01   0.04
  31   1     0.00  -0.05  -0.07    -0.01  -0.00   0.06    -0.03  -0.01   0.05
  32   1    -0.01   0.02   0.05    -0.05  -0.02   0.00     0.04   0.02  -0.04
