 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        2.408798   -0.810228    3.508089
    2          6             0        1.275882   -0.863316    2.503475
    3          8             0        1.454329    0.137297    1.486006
    4         15             0        2.233198   -0.100076    0.126511
    5         16             0        2.829744   -1.944926   -0.179800
    6          8             0        3.339043    1.024265    0.286949
    7          6             0        4.074794    1.652996   -0.779884
    8          6             0        4.879159    0.670701   -1.607363
    9         16             0        0.926007    0.723105   -1.334287
   10          6             0        0.045848   -0.807096   -1.743392
   11         16             0       -0.883245   -1.505333   -0.353518
   12         15             0       -2.242543    0.111282   -0.097217
   13         16             0       -2.784163    1.055968   -1.730365
   14          8             0       -1.545023    1.014699    1.001656
   15          6             0       -1.342450    2.433141    0.879172
   16          6             0       -2.493813    3.190034    1.509472
   17          8             0       -3.376171   -0.520769    0.811746
   18          6             0       -4.070572   -1.759091    0.568629
   19          6             0       -4.819948   -1.771550   -0.748586
   20          1             0        3.348019   -1.059501    3.016913
   21          1             0        2.488515    0.186197    3.933670
   22          1             0        2.219921   -1.528391    4.299845
   23          1             0        0.313734   -0.622854    2.960050
   24          1             0        1.220981   -1.850422    2.031466
   25          1             0        3.368214    2.201934   -1.408951
   26          1             0        4.726195    2.356335   -0.257599
   27          1             0        5.476572    1.219115   -2.329196
   28          1             0        5.536442    0.084136   -0.970091
   29          1             0        4.216974   -0.009663   -2.140344
   30          1             0        0.760131   -1.573109   -2.043824
   31          1             0       -0.637825   -0.554127   -2.553273
   32          1             0       -0.398453    2.623797    1.393728
   33          1             0       -1.240729    2.693065   -0.180217
   34          1             0       -2.620437    2.888533    2.545477
   35          1             0       -2.289629    4.255172    1.464322
   36          1             0       -3.413667    2.979767    0.966414
   37          1             0       -3.344285   -2.575896    0.609074
   38          1             0       -4.756712   -1.834414    1.414428
   39          1             0       -5.495603   -0.921916   -0.810378
   40          1             0       -4.123010   -1.720396   -1.583497
   41          1             0       -5.393094   -2.690586   -0.823257
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    48.3502                48.1658                51.4408
 Red. masses --    21.5585                20.0234                15.3081
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     4.4770                 0.1938                 3.8578
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.04   0.09   0.04     0.15  -0.16   0.06     0.07  -0.08  -0.07
   2   6     0.02   0.07   0.05     0.19  -0.12   0.02     0.03  -0.23  -0.01
   3   8     0.01   0.04   0.02     0.28  -0.08   0.09    -0.17  -0.26  -0.04
   4  15    -0.01  -0.01   0.03     0.23  -0.04   0.02    -0.03  -0.10   0.02
   5  16    -0.35  -0.10  -0.07     0.19  -0.02  -0.18     0.20   0.00  -0.18
   6   8     0.14  -0.16   0.05     0.18  -0.04  -0.03    -0.12  -0.01   0.19
   7   6     0.16  -0.16   0.06     0.08  -0.01  -0.05    -0.07   0.10   0.24
   8   6     0.15  -0.18   0.08     0.07   0.02  -0.10    -0.00   0.19   0.20
   9  16     0.11   0.30   0.10     0.03   0.05   0.25     0.03  -0.05   0.01
  10   6     0.03   0.24  -0.09    -0.01   0.04   0.16    -0.00  -0.01  -0.02
  11  16     0.10   0.15  -0.24    -0.07   0.13   0.27    -0.08   0.00  -0.06
  12  15    -0.07  -0.01  -0.02    -0.23   0.04  -0.02     0.02   0.08  -0.07
  13  16    -0.39  -0.04   0.07    -0.09  -0.13  -0.17    -0.19  -0.12  -0.12
  14   8    -0.05   0.03  -0.05    -0.30   0.11   0.00     0.17   0.12  -0.21
  15   6    -0.02   0.02  -0.10    -0.18   0.08  -0.06     0.02   0.12  -0.20
  16   6    -0.00   0.06  -0.11    -0.13   0.15  -0.07    -0.01   0.03  -0.14
  17   8     0.10  -0.13   0.07    -0.21   0.03  -0.08     0.09   0.15   0.11
  18   6     0.14  -0.15   0.07    -0.11  -0.01  -0.07     0.05   0.12   0.23
  19   6     0.13  -0.19   0.08    -0.09  -0.05  -0.08     0.00   0.01   0.26
  20   1     0.01   0.02   0.01     0.05  -0.04   0.03     0.02   0.00  -0.03
  21   1     0.01   0.03   0.00     0.04  -0.05   0.03    -0.01  -0.02  -0.03
  22   1     0.01   0.03   0.02     0.03  -0.05   0.01     0.05  -0.02  -0.01
  23   1     0.01   0.02   0.02     0.05  -0.04  -0.00     0.01  -0.10   0.01
  24   1     0.00   0.02   0.02     0.06  -0.03  -0.01     0.04  -0.07  -0.00
  25   1     0.05  -0.04   0.01     0.01  -0.01  -0.00    -0.02   0.04   0.07
  26   1     0.05  -0.05   0.02     0.03   0.00  -0.02    -0.03   0.02   0.09
  27   1     0.05  -0.06   0.02     0.01   0.01  -0.03    -0.00   0.08   0.07
  28   1     0.04  -0.05   0.03     0.03   0.01  -0.04    -0.00   0.05   0.05
  29   1     0.04  -0.05   0.02     0.02   0.00  -0.02     0.01   0.06   0.04
  30   1     0.00   0.08  -0.05    -0.01   0.01   0.05    -0.00  -0.01  -0.00
  31   1     0.00   0.10  -0.01     0.00   0.01   0.04     0.00  -0.00  -0.01
  32   1    -0.00   0.01  -0.03    -0.05   0.02  -0.03     0.01   0.06  -0.07
  33   1    -0.01  -0.00  -0.03    -0.05   0.01  -0.02    -0.02   0.03  -0.06
  34   1     0.00   0.03  -0.03    -0.04   0.05  -0.02     0.02   0.00  -0.04
  35   1     0.00   0.02  -0.04    -0.02   0.04  -0.03    -0.03   0.01  -0.04
  36   1    -0.00   0.02  -0.03    -0.04   0.05  -0.01    -0.01  -0.01  -0.03
  37   1     0.05  -0.03   0.02    -0.02   0.01  -0.01     0.01   0.03   0.08
  38   1     0.04  -0.05   0.02    -0.04  -0.01  -0.02     0.02   0.06   0.08
  39   1     0.03  -0.06   0.02    -0.04  -0.02  -0.03     0.00   0.00   0.06
  40   1     0.04  -0.05   0.02    -0.02  -0.01  -0.02    -0.01  -0.02   0.07
  41   1     0.04  -0.06   0.03    -0.02  -0.02  -0.02     0.00   0.00   0.10
                      4                      5                      6
                        a                      a                      a 
 Frequencies --    61.4898                51.8318                58.2053
 Red. masses --    20.0271                13.7880                14.8675
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.2737                 4.4578                 1.0666
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.10   0.14  -0.12    -0.45  -0.25   0.09     0.14   0.19  -0.00
   2   6    -0.09  -0.04  -0.12    -0.25  -0.01  -0.15     0.08   0.02   0.07
   3   8    -0.21  -0.11  -0.23     0.12   0.07  -0.01    -0.05  -0.07  -0.04
   4  15    -0.03  -0.10  -0.18     0.10   0.02  -0.04     0.02  -0.17   0.00
   5  16     0.09  -0.07  -0.15     0.03  -0.00  -0.01    -0.10  -0.23   0.11
   6   8    -0.06  -0.05   0.02     0.10  -0.01  -0.04     0.08  -0.18   0.02
   7   6     0.05  -0.01   0.11     0.05  -0.00  -0.05    -0.06  -0.01   0.01
   8   6     0.16   0.02   0.18    -0.02  -0.01  -0.10    -0.13   0.09  -0.18
   9  16     0.13  -0.11  -0.31     0.18   0.05  -0.11     0.16  -0.08  -0.05
  10   6    -0.06  -0.04   0.02     0.05   0.05  -0.01     0.01   0.00  -0.01
  11  16     0.12   0.16   0.29     0.23   0.10   0.09    -0.02   0.09  -0.00
  12  15    -0.04   0.05   0.20     0.09  -0.02   0.07     0.05   0.13  -0.05
  13  16     0.06   0.04   0.17    -0.07  -0.18   0.03     0.12   0.21  -0.03
  14   8    -0.23   0.09   0.23     0.09   0.06  -0.03     0.11   0.06  -0.05
  15   6    -0.05   0.05   0.09    -0.15   0.08  -0.01    -0.23   0.11   0.11
  16   6    -0.03   0.20  -0.06    -0.27  -0.09  -0.03    -0.43  -0.21   0.12
  17   8    -0.05  -0.07   0.05     0.14  -0.04   0.12    -0.01   0.12  -0.06
  18   6     0.04  -0.09  -0.05     0.01   0.03   0.07     0.08   0.04   0.03
  19   6     0.16  -0.09  -0.12    -0.10   0.17   0.13     0.13  -0.12   0.00
  20   1    -0.02   0.05  -0.03    -0.11  -0.10   0.07     0.04   0.06  -0.01
  21   1    -0.06   0.05  -0.05    -0.12  -0.09   0.05     0.03   0.07  -0.02
  22   1    -0.01   0.05  -0.02    -0.20  -0.09  -0.00     0.07   0.07   0.02
  23   1    -0.03  -0.02  -0.04    -0.09   0.02  -0.09     0.03   0.00   0.03
  24   1     0.00  -0.02  -0.02    -0.08   0.01  -0.07     0.03  -0.01   0.05
  25   1     0.03  -0.01   0.01     0.01   0.01  -0.00    -0.04   0.01   0.04
  26   1    -0.01   0.00   0.05     0.03  -0.01  -0.02    -0.01  -0.01   0.00
  27   1     0.06   0.01   0.07    -0.01  -0.00  -0.03    -0.07   0.05  -0.06
  28   1     0.04   0.01   0.07    -0.00  -0.01  -0.04    -0.01   0.02  -0.09
  29   1     0.07   0.00   0.03    -0.02   0.01  -0.03    -0.05   0.03  -0.04
  30   1    -0.04  -0.03  -0.01     0.00   0.01  -0.02    -0.01  -0.01  -0.00
  31   1    -0.04  -0.02   0.02    -0.00   0.02   0.01     0.00   0.01  -0.00
  32   1    -0.02   0.00   0.04    -0.05   0.06   0.00    -0.09   0.08   0.05
  33   1     0.01  -0.01   0.02    -0.05   0.03  -0.00    -0.07   0.07   0.04
  34   1    -0.04   0.08  -0.01    -0.07  -0.04  -0.01    -0.12  -0.09   0.03
  35   1     0.02   0.05  -0.04    -0.12  -0.02  -0.00    -0.19  -0.05   0.06
  36   1    -0.00   0.07  -0.03    -0.07  -0.06  -0.01    -0.11  -0.11   0.02
  37   1     0.02  -0.01  -0.00    -0.01  -0.01  -0.01     0.04   0.03   0.03
  38   1    -0.01  -0.04  -0.03     0.02   0.01   0.03     0.02   0.02   0.00
  39   1     0.04  -0.03  -0.05    -0.01   0.06   0.07     0.02  -0.05  -0.02
  40   1     0.06  -0.02  -0.02    -0.05   0.05   0.02     0.05  -0.03   0.01
  41   1     0.05  -0.03  -0.05    -0.05   0.06   0.04     0.06  -0.05   0.01
                      7                      8                      9
                        a                      a                      a 
 Frequencies --    78.0716                62.7825                56.4604
 Red. masses --    28.1622                15.8778                11.8574
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     1.7098                 2.3959                 1.8489
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.05   0.13   0.03     0.18   0.01  -0.19    -0.20  -0.21   0.07
   2   6     0.01   0.07  -0.03    -0.01   0.03   0.03    -0.13  -0.06  -0.03
