 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        5.047490   -0.884416   -1.262094
    2          6             0        4.584454   -0.632201    0.157590
    3          8             0        3.635649    0.447248    0.263399
    4         15             0        2.223684    0.557342   -0.459663
    5         16             0        2.176893    1.001612   -2.362662
    6          8             0        1.539084    1.698878    0.384037
    7          6             0        1.446652    1.657421    1.828865
    8          6             0        2.397717    2.660263    2.448490
    9         16             0        1.283977   -1.274830    0.090075
   10          6             0        0.088941   -1.442055   -1.276857
   11         16             0       -1.544745   -1.934214   -0.697282
   12         15             0       -2.201168   -0.042680    0.033843
   13         16             0       -1.670845    1.492802   -1.060676
   14          8             0       -1.696355    0.084611    1.518344
   15          6             0       -2.051184   -0.884168    2.546895
   16          6             0       -0.842904   -1.104519    3.432212
   17          8             0       -3.758680   -0.276662    0.240907
   18          6             0       -4.692767   -0.372868   -0.855387
   19          6             0       -6.076434   -0.064780   -0.316708
   20          1             0        5.831231   -1.635699   -1.252205
   21          1             0        4.221521   -1.238922   -1.876143
   22          1             0        5.433473    0.030368   -1.705408
   23          1             0        5.412641   -0.301506    0.787654
   24          1             0        4.130662   -1.531167    0.583290
   25          1             0        0.404286    1.899303    2.049396
   26          1             0        1.667262    0.641583    2.169533
   27          1             0        3.424746    2.410374    2.194915
   28          1             0        2.179164    3.658322    2.078742
   29          1             0        2.277654    2.642199    3.527290
   30          1             0        0.430786   -2.232791   -1.940062
   31          1             0        0.025286   -0.486738   -1.805727
   32          1             0       -2.889261   -0.459290    3.101368
   33          1             0       -2.367792   -1.812402    2.063901
   34          1             0       -0.521541   -0.162381    3.867065
   35          1             0       -1.108755   -1.793846    4.226984
   36          1             0       -0.024981   -1.525782    2.852594
   37          1             0       -4.397193    0.340467   -1.631156
   38          1             0       -4.639086   -1.387332   -1.258832
   39          1             0       -6.794513   -0.120804   -1.128494
   40          1             0       -6.347337   -0.782095    0.452361
   41          1             0       -6.097536    0.934478    0.109426
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    45.9496                52.2300                55.5227
 Red. masses --    26.0400                24.7528                23.3542
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.1488                 2.1076                 1.8035
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.09  -0.08   0.06     0.04  -0.00   0.04    -0.05  -0.06   0.05
   2   6     0.10  -0.07   0.06    -0.03   0.00   0.02    -0.05  -0.10   0.05
   3   8     0.13  -0.06   0.05    -0.04   0.01  -0.04    -0.03  -0.09   0.10
   4  15     0.26  -0.03  -0.07    -0.03   0.02  -0.11    -0.02   0.03   0.12
   5  16     0.47  -0.04  -0.08     0.08  -0.28  -0.18     0.08  -0.10   0.09
   6   8     0.15   0.00  -0.11     0.04   0.12  -0.18     0.11   0.13   0.04
   7   6     0.03   0.01  -0.10    -0.07   0.13  -0.16     0.08   0.14   0.03
   8   6    -0.00   0.01  -0.04    -0.09   0.11  -0.10     0.12   0.11   0.02
   9  16     0.09   0.04  -0.11    -0.21   0.18   0.11    -0.35   0.23   0.24
  10   6    -0.02   0.17  -0.03    -0.03   0.01  -0.01     0.02   0.02  -0.04
  11  16     0.04   0.12   0.01    -0.10   0.06  -0.15    -0.09  -0.01  -0.45
  12  15    -0.23   0.01   0.08     0.05   0.01   0.13     0.03  -0.08  -0.15
  13  16    -0.51   0.14   0.14     0.34   0.16   0.48    -0.18  -0.01  -0.15
  14   8    -0.17   0.02   0.06    -0.03  -0.16   0.12     0.22  -0.13  -0.17
  15   6    -0.07  -0.02   0.03    -0.04  -0.20   0.04     0.17  -0.05  -0.09
  16   6    -0.02   0.01  -0.01    -0.05  -0.17   0.07     0.13   0.06  -0.02
  17   8    -0.14  -0.17   0.05     0.01   0.07  -0.01     0.05  -0.08   0.07
  18   6    -0.11  -0.11   0.02     0.08  -0.01  -0.06    -0.05  -0.04   0.14
  19   6    -0.11  -0.07   0.01     0.03  -0.12  -0.13    -0.00  -0.02   0.24
  20   1     0.03  -0.02   0.02     0.01   0.00   0.03    -0.01  -0.02   0.01
  21   1     0.03  -0.03   0.02     0.02  -0.01   0.00    -0.01  -0.01   0.01
  22   1     0.02  -0.03   0.01     0.01   0.00   0.02    -0.01  -0.01   0.02
  23   1     0.03  -0.02   0.01    -0.02   0.00   0.02    -0.01  -0.04   0.02
  24   1     0.03  -0.02   0.02    -0.02   0.00   0.00    -0.02  -0.03   0.01
  25   1     0.00   0.00  -0.05    -0.02   0.04  -0.06     0.03   0.05   0.01
  26   1     0.00   0.00  -0.02    -0.03   0.04  -0.04     0.01   0.04   0.01
  27   1     0.00   0.00   0.00    -0.02   0.03  -0.01     0.03   0.02   0.00
  28   1     0.00   0.00  -0.01    -0.02   0.03  -0.03     0.04   0.03   0.00
  29   1    -0.02  -0.00  -0.01    -0.04   0.03  -0.03     0.04   0.04   0.01
  30   1    -0.01   0.07  -0.04     0.01  -0.01   0.02     0.04   0.00   0.01
  31   1    -0.02   0.07   0.02     0.00  -0.00  -0.02     0.02  -0.00  -0.03
