 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        2.266612   -2.586795    2.359045
    2          6             0        1.348454   -1.962402    1.326888
    3          8             0        1.762756   -0.606422    1.085657
    4         15             0        2.353068   -0.060500   -0.292700
    5         16             0        2.956848   -1.412252   -1.562099
    6          8             0        3.506580    0.905590    0.177291
    7          6             0        3.314091    1.919254    1.199707
    8          6             0        4.589370    2.730217    1.290945
    9         16             0        0.875456    1.312208   -1.003943
   10          6             0       -0.001534    0.177421   -2.106097
   11         16             0       -0.855279   -1.169047   -1.237891
   12         15             0       -2.152212    0.040101   -0.083084
   13         16             0       -2.889170    1.649472   -0.930362
   14          8             0       -1.234014    0.264111    1.190098
   15          6             0       -1.384844    1.401318    2.063283
   16          6             0       -2.622902    1.285268    2.927797
   17          8             0       -3.226139   -0.984123    0.483889
   18          6             0       -4.489042   -1.237178   -0.157075
   19          6             0       -4.337205   -2.040756   -1.432681
   20          1             0        3.281522   -2.634533    1.970173
   21          1             0        2.264324   -1.996845    3.271275
   22          1             0        1.922747   -3.591975    2.579787
   23          1             0        0.316473   -1.905883    1.680777
   24          1             0        1.380704   -2.522564    0.386648
   25          1             0        2.462657    2.541071    0.909749
   26          1             0        3.091148    1.412496    2.140710
   27          1             0        4.798822    3.206803    0.337746
   28          1             0        4.470526    3.491762    2.055092
   29          1             0        5.424489    2.086049    1.550535
   30          1             0        0.707112   -0.299040   -2.783295
   31          1             0       -0.726791    0.783036   -2.648213
   32          1             0       -0.471027    1.397432    2.659476
   33          1             0       -1.421679    2.307422    1.449452
   34          1             0       -2.616067    0.345407    3.473349
   35          1             0       -2.647281    2.111870    3.631226
   36          1             0       -3.515400    1.324663    2.304617
   37          1             0       -5.058559   -1.784628    0.595369
   38          1             0       -4.971122   -0.276226   -0.363989
   39          1             0       -3.814927   -1.453760   -2.186841
   40          1             0       -3.771840   -2.949753   -1.244172
   41          1             0       -5.321741   -2.300763   -1.809192
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    44.8782                47.3102                49.9768
 Red. masses --    21.2202                20.8474                18.2690
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.8395                 2.8549                 3.6541
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.06  -0.14   0.04    -0.07  -0.05   0.07    -0.05   0.09   0.19
   2   6     0.14  -0.02  -0.06     0.02   0.02   0.04     0.00   0.14   0.18
   3   8     0.42  -0.08   0.03     0.17  -0.02   0.06     0.15   0.11   0.17
   4  15     0.23   0.04  -0.05     0.10  -0.02   0.04    -0.04   0.05   0.09
   5  16     0.27   0.20  -0.21    -0.19  -0.00  -0.12    -0.27  -0.07   0.12
   6   8     0.09   0.15  -0.11     0.17  -0.10  -0.03     0.02   0.06  -0.12
   7   6     0.06   0.06  -0.03     0.23  -0.08  -0.02     0.10   0.11  -0.15
   8   6     0.05   0.06   0.04     0.26  -0.12  -0.08     0.13   0.07  -0.24
   9  16    -0.11  -0.20   0.18     0.11   0.15   0.31    -0.16  -0.01   0.20
  10   6    -0.02  -0.16   0.11     0.03   0.20   0.09     0.00   0.04  -0.00
  11  16    -0.15  -0.18   0.20     0.07   0.20  -0.05    -0.07  -0.03  -0.23
  12  15    -0.15  -0.02   0.03    -0.12   0.00  -0.05     0.02  -0.11  -0.05
  13  16     0.06   0.00  -0.11    -0.43  -0.16  -0.09     0.17   0.10   0.22
  14   8    -0.15  -0.03   0.06    -0.08   0.12  -0.06    -0.01  -0.27   0.02
  15   6    -0.10   0.01   0.01    -0.11   0.13  -0.09     0.13  -0.21   0.01
  16   6    -0.13   0.08  -0.01    -0.09   0.11  -0.08     0.11  -0.06   0.00
  17   8    -0.21   0.08   0.00     0.04  -0.12  -0.01    -0.05  -0.08  -0.16
  18   6    -0.16   0.11  -0.06     0.03  -0.17   0.02    -0.04   0.02  -0.19
  19   6    -0.12   0.10  -0.05     0.05  -0.16   0.02    -0.04   0.04  -0.20
  20   1    -0.00  -0.07   0.05    -0.02  -0.04   0.03    -0.01   0.00   0.06
  21   1    -0.03  -0.04   0.01    -0.02  -0.02   0.02    -0.00   0.03   0.05
  22   1    -0.06  -0.03  -0.00    -0.04  -0.01   0.02    -0.03   0.03   0.06
  23   1     0.03   0.03  -0.05     0.00   0.03  -0.00     0.00   0.07   0.05
  24   1     0.05  -0.00  -0.02     0.00   0.00   0.01    -0.01   0.03   0.06
  25   1     0.02   0.02  -0.00     0.07  -0.02   0.01     0.03   0.04  -0.04
  26   1     0.01  -0.00  -0.02     0.08  -0.02  -0.00     0.04   0.05  -0.03
  27   1     0.02   0.03   0.02     0.07  -0.04  -0.03     0.03   0.01  -0.08
  28   1     0.01   0.01   0.02     0.09  -0.03  -0.02     0.05   0.03  -0.08
  29   1     0.01   0.01   0.01     0.07  -0.04  -0.03     0.04   0.02  -0.07
  30   1     0.00  -0.06   0.05     0.01   0.08   0.01     0.02   0.03   0.01
  31   1     0.01  -0.05   0.01     0.01   0.07   0.05     0.01   0.02  -0.01
  32   1    -0.03  -0.00   0.01    -0.03   0.05  -0.03     0.04  -0.09   0.00
  33   1    -0.02  -0.00  -0.01    -0.04   0.03  -0.03     0.07  -0.06  -0.00
  34   1    -0.05   0.03   0.00    -0.02   0.04  -0.01     0.00  -0.01   0.01
  35   1    -0.03   0.03  -0.01    -0.03   0.04  -0.03     0.05  -0.01  -0.01
  36   1    -0.03   0.03  -0.01    -0.03   0.02  -0.02     0.03   0.00  -0.00
  37   1    -0.06   0.04  -0.02     0.02  -0.06   0.01    -0.03   0.01  -0.06
  38   1    -0.03   0.04  -0.03    -0.01  -0.06   0.01     0.01   0.02  -0.05
  39   1    -0.02   0.02  -0.01     0.01  -0.04   0.01     0.00   0.01  -0.05
  40   1    -0.04   0.03  -0.01     0.02  -0.04   0.00    -0.02   0.01  -0.06
  41   1    -0.03   0.04  -0.03     0.02  -0.05   0.01    -0.01   0.03  -0.07
                      4                      5                      6
                        a                      a                      a 
 Frequencies --    52.6182                60.9827                60.0625
 Red. masses --    15.2888                18.8966                16.3830
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.4798                 0.8856                 1.1550
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.24   0.11  -0.04     0.16  -0.18  -0.18    -0.40   0.14   0.22
   2   6     0.08   0.01   0.04     0.03  -0.07   0.01    -0.12   0.16  -0.01
   3   8    -0.07   0.04  -0.06     0.02  -0.06   0.08     0.12   0.10  -0.04
   4  15     0.03  -0.06  -0.08     0.13  -0.09   0.15     0.16   0.02  -0.11
   5  16    -0.09  -0.19   0.01     0.24  -0.14   0.26     0.22  -0.11   0.05
   6   8     0.08  -0.10  -0.07     0.07  -0.05   0.14     0.08   0.06  -0.10
   7   6     0.06  -0.03  -0.11    -0.01   0.09  -0.03     0.04   0.00  -0.04
   8   6     0.03   0.02  -0.18    -0.12   0.30  -0.27     0.05  -0.04   0.09
   9  16     0.15   0.05  -0.09     0.16  -0.09   0.10     0.19  -0.02  -0.28
  10   6    -0.01   0.01   0.05     0.06   0.03   0.00     0.02  -0.01  -0.10
  11  16     0.10   0.07   0.29    -0.18   0.11  -0.18    -0.06   0.08  -0.10
  12  15    -0.05   0.08   0.09    -0.13   0.10  -0.12    -0.02   0.03  -0.00
  13  16     0.10   0.12   0.01    -0.22   0.12  -0.01    -0.17   0.06   0.17
  14   8    -0.16   0.05   0.15    -0.01   0.05  -0.14     0.05   0.02  -0.05
  15   6    -0.30  -0.03   0.20    -0.00  -0.03  -0.03    -0.09  -0.11   0.10
  16   6    -0.34  -0.20   0.12     0.08  -0.16   0.07    -0.09  -0.33   0.08
  17   8    -0.10   0.06  -0.05    -0.05   0.05  -0.04     0.05  -0.03   0.02
  18   6    -0.01  -0.00  -0.19    -0.08   0.03   0.05    -0.00  -0.01   0.09
  19   6     0.16  -0.01  -0.16    -0.15  -0.01   0.07    -0.09  -0.01   0.08
  20   1     0.06   0.05  -0.04     0.03  -0.05  -0.09    -0.10  -0.00   0.12
  21   1     0.08   0.04  -0.01     0.09  -0.08  -0.04    -0.15   0.06   0.05
  22   1     0.10   0.02   0.00     0.05  -0.06  -0.06    -0.16   0.06   0.06
  23   1     0.03  -0.02   0.04     0.02  -0.02   0.04    -0.05   0.09  -0.06
  24   1     0.01  -0.01   0.02    -0.03   0.00  -0.01    -0.00   0.02   0.01
  25   1     0.01  -0.02  -0.03    -0.04  -0.02  -0.01     0.02   0.01  -0.02
  26   1     0.03   0.00  -0.02     0.04   0.06   0.02    -0.01  -0.01  -0.02
  27   1    -0.00   0.00  -0.06    -0.09   0.06  -0.10     0.04   0.00   0.04
  28   1     0.01   0.01  -0.06    -0.04   0.11  -0.10     0.00  -0.02   0.03
  29   1     0.02   0.02  -0.05     0.00   0.13  -0.08     0.01  -0.02   0.03
  30   1    -0.02  -0.01   0.00     0.02  -0.00   0.01    -0.01  -0.02  -0.03
  31   1    -0.02  -0.00   0.03     0.04   0.03  -0.01     0.01   0.00  -0.03
  32   1    -0.10   0.00   0.07     0.02  -0.00  -0.03    -0.03  -0.02   0.03
  33   1    -0.10   0.00   0.07    -0.03   0.00   0.01    -0.05  -0.01   0.06
  34   1    -0.08  -0.07   0.02     0.06  -0.06   0.00    -0.00  -0.11  -0.01
  35   1    -0.13  -0.07   0.05     0.03  -0.06   0.04    -0.05  -0.12   0.05
  36   1    -0.09  -0.07   0.02     0.01  -0.05   0.05    -0.03  -0.10   0.02
  37   1    -0.02  -0.00  -0.07    -0.01   0.02   0.03     0.01  -0.00   0.04
  38   1    -0.01  -0.01  -0.07    -0.03   0.01   0.01    -0.00  -0.00   0.04
  39   1     0.06  -0.00  -0.04    -0.05  -0.01   0.01    -0.03  -0.00   0.02
  40   1     0.05   0.01  -0.03    -0.04  -0.00   0.02    -0.03  -0.01   0.01
  41   1     0.06  -0.02  -0.07    -0.05  -0.01   0.04    -0.03   0.01   0.04
                      7                      8                      9
                        a                      a                      a 
 Frequencies --    56.7752                69.0465                75.3964
 Red. masses --    13.0722                15.3001                20.4020
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     1.3172                 3.8089                 6.4967
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.39   0.17  -0.07    -0.10  -0.07  -0.09     0.05   0.06  -0.03
   2   6     0.14   0.11   0.11    -0.10   0.03  -0.03     0.02  -0.01  -0.04
   3   8    -0.04   0.17   0.03    -0.05   0.02   0.01    -0.08   0.01  -0.08
   4  15    -0.00   0.10   0.01    -0.02   0.02   0.03     0.08  -0.05  -0.06
   5  16     0.02  -0.04   0.17    -0.04   0.00   0.05     0.27  -0.10   0.09
   6   8     0.01   0.10  -0.06     0.01  -0.02   0.04     0.03  -0.02   0.02
   7   6     0.11  -0.01   0.06     0.03   0.05  -0.04    -0.03   0.01  -0.02
   8   6     0.26  -0.27   0.27     0.00   0.11  -0.17    -0.03   0.00   0.03
   9  16    -0.04  -0.01  -0.11     0.06   0.09  -0.00     0.13  -0.05  -0.16
  10   6    -0.03  -0.06  -0.03     0.02   0.03   0.04    -0.02  -0.02  -0.03
  11  16    -0.09  -0.06  -0.03     0.28  -0.06   0.13    -0.11   0.04   0.01
  12  15    -0.12  -0.04  -0.09     0.11  -0.17   0.05    -0.12  -0.06   0.13
  13  16    -0.19  -0.10  -0.14    -0.04  -0.32  -0.08    -0.28   0.03   0.45
  14   8    -0.04  -0.01  -0.10     0.05  -0.00   0.04    -0.11  -0.10   0.12
  15   6     0.00  -0.04  -0.05    -0.07   0.00   0.01     0.08   0.06  -0.05
  16   6     0.10  -0.12   0.08    -0.12  -0.04  -0.07     0.02   0.39  -0.10
  17   8    -0.08  -0.01  -0.02     0.12  -0.18   0.03    -0.03  -0.17  -0.03
  18   6    -0.11   0.05   0.04    -0.01   0.10   0.15     0.01  -0.12  -0.11
  19   6    -0.19   0.15  -0.03    -0.24   0.50  -0.13     0.10   0.12  -0.26
  20   1     0.09   0.07  -0.08    -0.03  -0.03  -0.04     0.01   0.03  -0.01
  21   1     0.15   0.04  -0.02    -0.01  -0.03  -0.02     0.01   0.02  -0.01
  22   1     0.15   0.04  -0.01    -0.04  -0.02  -0.04     0.03   0.01  -0.00
  23   1     0.06   0.01   0.09    -0.03   0.02   0.00     0.00  -0.02  -0.01
  24   1     0.00   0.03   0.03    -0.05   0.02  -0.02     0.01  -0.01  -0.01
  25   1     0.07   0.05   0.02    -0.00   0.00  -0.01    -0.00   0.00  -0.02
  26   1    -0.02  -0.02  -0.01     0.03   0.03   0.00    -0.02   0.01  -0.01
  27   1     0.13  -0.06   0.10    -0.02   0.02  -0.06     0.01  -0.01   0.01
  28   1     0.10  -0.09   0.10     0.01   0.04  -0.06    -0.02   0.01   0.00
  29   1     0.03  -0.13   0.08     0.01   0.04  -0.06    -0.01  -0.00   0.03
