 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        2.915014    1.231309    3.200754
    2          6             0        1.626176    0.640512    2.668876
    3          8             0        1.536079    0.787962    1.237212
    4         15             0        2.341099   -0.131515    0.226447
    5         16             0        2.820782   -1.895178    0.945237
    6          8             0        3.524261    0.847950   -0.177141
    7          6             0        4.305477    0.785428   -1.384396
    8          6             0        5.012684   -0.541954   -1.568652
    9         16             0        1.081729   -0.114025   -1.479969
   10          6             0        0.083758   -1.555129   -1.022355
   11         16             0       -1.026779   -1.244181    0.370170
   12         15             0       -2.318911    0.132918   -0.638262
   13         16             0       -2.635893   -0.249770   -2.526842
   14          8             0       -1.712059    1.565820   -0.404775
   15          6             0       -1.502311    2.124077    0.916604
   16          6             0       -2.581775    3.136099    1.238430
   17          8             0       -3.599886    0.144364    0.300252
   18          6             0       -4.527571   -0.961231    0.334354
   19          6             0       -5.791599   -0.483941    1.021224
   20          1             0        3.764645    0.673242    2.809483
   21          1             0        3.007999    2.269918    2.895312
   22          1             0        2.918314    1.170457    4.284630
   23          1             0        0.751840    1.170772    3.048511
   24          1             0        1.552669   -0.423183    2.917814
   25          1             0        3.644668    0.992136   -2.231230
   26          1             0        5.020186    1.602253   -1.267010
   27          1             0        5.647906   -0.488056   -2.447416
   28          1             0        5.622722   -0.773391   -0.698921
   29          1             0        4.287354   -1.342554   -1.705753
   30          1             0        0.739023   -2.372755   -0.720644
   31          1             0       -0.504525   -1.813393   -1.903033
   32          1             0       -1.492729    1.308839    1.645832
   33          1             0       -0.514376    2.586969    0.869108
   34          1             0       -2.598975    3.914596    0.480848
   35          1             0       -3.554037    2.651124    1.265470
   36          1             0       -2.374435    3.581315    2.206566
   37          1             0       -4.724507   -1.282101   -0.693515
   38          1             0       -4.059760   -1.782911    0.883224
   39          1             0       -5.563823   -0.143713    2.027260
   40          1             0       -6.235435    0.335077    0.462202
   41          1             0       -6.499237   -1.304895    1.072844
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    43.7005                47.9928                50.5426
 Red. masses --    23.3616                21.1776                16.3559
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     3.8048                 1.9030                 1.4432
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.09   0.05  -0.09    -0.06   0.19  -0.12    -0.17  -0.05  -0.02
   2   6    -0.08  -0.01  -0.06    -0.08   0.22  -0.09    -0.16  -0.08  -0.01
   3   8    -0.12  -0.05  -0.07    -0.08   0.16  -0.12    -0.22  -0.09  -0.01
   4  15    -0.09  -0.05  -0.06    -0.14   0.04  -0.03    -0.14   0.03  -0.02
   5  16     0.19   0.08   0.07    -0.44   0.05   0.19     0.01   0.04  -0.10
   6   8    -0.17   0.06  -0.13     0.02  -0.10   0.00    -0.17   0.13   0.08
   7   6    -0.16   0.06  -0.12     0.04  -0.16   0.02    -0.06   0.17   0.12
   8   6    -0.12   0.08  -0.10     0.01  -0.19   0.10    -0.00   0.20   0.13
   9  16    -0.13  -0.38  -0.03     0.05   0.04  -0.17    -0.03  -0.03  -0.10
  10   6    -0.06  -0.19   0.15     0.04  -0.01  -0.18     0.04  -0.08  -0.11
  11  16    -0.09  -0.07   0.19     0.15  -0.16  -0.20     0.09  -0.29  -0.12
  12  15     0.16   0.08   0.06     0.12  -0.00   0.05     0.14  -0.11   0.06
  13  16     0.46   0.24  -0.02     0.03   0.29   0.01    -0.15  -0.11   0.11
  14   8     0.14   0.03   0.17     0.09  -0.02   0.14     0.23  -0.12  -0.02
  15   6    -0.02   0.00   0.18     0.00  -0.05   0.14     0.17  -0.03  -0.04
  16   6    -0.07  -0.02   0.09    -0.02  -0.06   0.10     0.21   0.04  -0.15
  17   8     0.01   0.07  -0.10     0.12  -0.09   0.09     0.18   0.03   0.15
  18   6     0.02   0.05  -0.12     0.13  -0.10   0.06     0.02   0.15   0.11
  19   6     0.02   0.00  -0.09     0.12  -0.14   0.08     0.04   0.31   0.02
  20   1    -0.02   0.02  -0.03    -0.02   0.04  -0.03    -0.05  -0.01  -0.01
  21   1    -0.04   0.01  -0.03    -0.00   0.05  -0.05    -0.06  -0.01  -0.01
  22   1    -0.02   0.02  -0.03    -0.02   0.07  -0.03    -0.05  -0.01  -0.01
  23   1    -0.03  -0.01  -0.02    -0.02   0.08  -0.04    -0.05  -0.03   0.00
  24   1    -0.01  -0.00  -0.01    -0.04   0.07  -0.01    -0.04  -0.02  -0.00
  25   1    -0.05   0.01  -0.03     0.02  -0.05  -0.00    -0.00   0.05   0.02
  26   1    -0.05   0.02  -0.04     0.02  -0.05   0.00    -0.03   0.06   0.06
  27   1    -0.03   0.02  -0.03     0.01  -0.07   0.03     0.01   0.07   0.05
  28   1    -0.03   0.03  -0.03    -0.00  -0.04   0.04    -0.01   0.06   0.04
  29   1    -0.03   0.02  -0.03    -0.00  -0.05   0.04     0.01   0.05   0.02
  30   1    -0.01  -0.04   0.07     0.01  -0.01  -0.07     0.02  -0.02  -0.05
  31   1    -0.02  -0.08   0.05     0.01   0.01  -0.05     0.01  -0.02  -0.03
