 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        4.491748   -0.376047   -2.276302
    2          6             0        4.629286    0.499415   -1.047136
    3          8             0        3.796672    0.074326    0.047404
    4         15             0        2.211601    0.213503    0.070830
    5         16             0        1.443990    1.783552   -0.806823
    6          8             0        1.883253    0.210082    1.614794
    7          6             0        2.339305   -0.801564    2.548449
    8          6             0        3.532450   -0.309229    3.342801
    9         16             0        1.562050   -1.683887   -0.658415
   10          6             0       -0.155239   -1.267138   -0.994288
   11         16             0       -1.117002   -1.062076    0.554267
   12         15             0       -2.669481    0.219230   -0.139930
   13         16             0       -2.435687    0.899544   -1.969639
   14          8             0       -2.852209    1.342293    0.961692
   15          6             0       -2.024882    2.517446    1.014407
   16          6             0       -1.079994    2.446740    2.198388
   17          8             0       -4.021487   -0.523479    0.207929
   18          6             0       -4.329752   -1.898399   -0.087940
   19          6             0       -4.320118   -2.199142   -1.573752
   20          1             0        4.684475   -1.417112   -2.031981
   21          1             0        3.489289   -0.289903   -2.691942
   22          1             0        5.208044   -0.044141   -3.022314
   23          1             0        4.378682    1.537318   -1.286225
   24          1             0        5.639589    0.448512   -0.637187
   25          1             0        1.478853   -0.981492    3.196060
   26          1             0        2.580379   -1.712611    1.994920
   27          1             0        4.385511   -0.147744    2.689369
   28          1             0        3.291339    0.624181    3.844152
   29          1             0        3.789032   -1.057111    4.087160
   30          1             0       -0.561795   -2.101151   -1.561122
   31          1             0       -0.213839   -0.336031   -1.564999
   32          1             0       -1.472327    2.621689    0.073188
   33          1             0       -2.717359    3.356108    1.113236
   34          1             0       -1.644593    2.323611    3.118175
   35          1             0       -0.390788    1.611576    2.088768
   36          1             0       -0.504918    3.366265    2.244108
   37          1             0       -3.618040   -2.535865    0.444894
   38          1             0       -5.328055   -2.031181    0.333673
   39          1             0       -4.987832   -1.522693   -2.101836
   40          1             0       -3.317912   -2.075103   -1.981629
   41          1             0       -4.646344   -3.222152   -1.734174
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    51.6704                55.3380                58.7387
 Red. masses --    26.5427                24.2821                21.1051
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.8459                 2.6329                 0.1529
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.10   0.08  -0.02     0.11  -0.00   0.05     0.04  -0.12   0.16
   2   6    -0.12   0.12  -0.04     0.09  -0.04   0.08     0.03  -0.04   0.11
   3   8    -0.13   0.16  -0.03     0.04  -0.07   0.03    -0.04   0.10   0.13
   4  15    -0.19  -0.02  -0.03     0.06   0.02  -0.15    -0.05   0.12   0.02
   5  16    -0.49  -0.20  -0.09     0.34  -0.05  -0.53     0.00   0.19   0.08
   6   8    -0.10   0.01  -0.01    -0.09   0.16  -0.13    -0.16   0.00  -0.01
   7   6    -0.03   0.04  -0.00    -0.18   0.16  -0.04    -0.13   0.02   0.00
   8   6    -0.02   0.07  -0.05    -0.20   0.13   0.02    -0.14   0.03   0.01
   9  16     0.04  -0.15   0.10    -0.02  -0.03   0.03     0.11   0.17  -0.25
  10   6     0.01  -0.18   0.04    -0.01  -0.00   0.02     0.04   0.00  -0.16
  11  16    -0.02  -0.25   0.04    -0.08  -0.18   0.02    -0.05  -0.41  -0.28
  12  15     0.22   0.03   0.01    -0.03  -0.05   0.14     0.07  -0.10   0.02
  13  16     0.47   0.12   0.08     0.06   0.24   0.26    -0.15  -0.12  -0.01
  14   8     0.17  -0.02   0.04    -0.02  -0.13   0.19     0.27  -0.06   0.04
  15   6     0.09   0.02   0.05    -0.09  -0.06   0.15     0.19  -0.02  -0.09
  16   6     0.09   0.05   0.05    -0.04  -0.02   0.11     0.19   0.11  -0.08
  17   8     0.07   0.11  -0.11    -0.04  -0.05  -0.01     0.02   0.05   0.17
  18   6     0.02   0.10  -0.06    -0.03  -0.03  -0.07    -0.11   0.07   0.15
  19   6     0.01   0.07  -0.05     0.02   0.03  -0.09    -0.11   0.07   0.15
  20   1    -0.02   0.03   0.00     0.03  -0.00   0.01    -0.01  -0.03   0.07
  21   1    -0.03   0.01  -0.01     0.03   0.01   0.01     0.02  -0.03   0.03
  22   1    -0.03   0.02  -0.01     0.04   0.00   0.02     0.02  -0.06   0.05
  23   1    -0.04   0.03  -0.02     0.03  -0.01   0.03     0.03  -0.01   0.01
  24   1    -0.03   0.04  -0.01     0.02  -0.02   0.03     0.00  -0.02   0.04
  25   1    -0.00   0.01   0.01    -0.06   0.06  -0.02    -0.04   0.00  -0.00
  26   1    -0.01   0.01   0.00    -0.05   0.04   0.00    -0.03   0.00   0.00
  27   1    -0.01   0.02  -0.02    -0.05   0.03   0.02    -0.04   0.01   0.01
  28   1    -0.01   0.02  -0.01    -0.05   0.04   0.00    -0.04   0.01  -0.00
  29   1     0.00   0.03  -0.01    -0.07   0.04   0.01    -0.04   0.01   0.01
  30   1     0.01  -0.06   0.02     0.00   0.01  -0.01     0.04   0.01  -0.07
  31   1    -0.01  -0.06   0.00    -0.00   0.01   0.02    -0.01   0.02  -0.02
  32   1     0.02   0.02   0.01    -0.04  -0.01   0.04     0.05  -0.02  -0.03
