 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        4.917743   -1.407561   -0.915711
    2          6             0        4.798698    0.026004   -0.439636
    3          8             0        3.597621    0.258402    0.319857
    4         15             0        2.143477    0.343782   -0.324074
    5         16             0        2.092576    1.131430   -2.124142
    6          8             0        1.355212    1.131293    0.803549
    7          6             0        1.436587    2.571182    0.887634
    8          6             0        0.609028    3.013388    2.074996
    9         16             0        1.341004   -1.575968   -0.067710
   10          6             0        0.004790   -1.534121   -1.321491
   11         16             0       -1.613392   -1.964720   -0.648121
   12         15             0       -2.153605   -0.074469    0.169164
   13         16             0       -1.763681    1.487373   -0.941643
   14          8             0       -1.428425    0.021304    1.565563
   15          6             0       -1.608189   -0.948646    2.629489
   16          6             0       -0.396862   -0.864704    3.534338
   17          8             0       -3.669239   -0.298763    0.601916
   18          6             0       -4.809919    0.016767   -0.217805
   19          6             0       -4.952998   -0.900057   -1.415161
   20          1             0        4.827400   -2.096458   -0.080168
   21          1             0        4.136979   -1.627732   -1.641918
   22          1             0        5.885786   -1.541941   -1.389186
   23          1             0        4.808387    0.715170   -1.290082
   24          1             0        5.599368    0.282567    0.256141
   25          1             0        2.486418    2.857135    0.998385
   26          1             0        1.049008    2.989044   -0.047946
   27          1             0       -0.418807    2.683217    1.945978
   28          1             0        1.008834    2.583226    2.988579
   29          1             0        0.632829    4.096383    2.141305
   30          1             0        0.228340   -2.287937   -2.072031
   31          1             0       -0.031331   -0.536113   -1.766408
   32          1             0       -2.527899   -0.691564    3.158687
   33          1             0       -1.711811   -1.943088    2.185737
   34          1             0       -0.306480    0.138122    3.942269
   35          1             0       -0.506348   -1.576224    4.346229
   36          1             0        0.505330   -1.094864    2.972583
   37          1             0       -5.653267   -0.090047    0.466962
   38          1             0       -4.723027    1.058570   -0.540271
   39          1             0       -4.985735   -1.940107   -1.102327
   40          1             0       -5.873104   -0.652457   -1.936411
   41          1             0       -4.115760   -0.762077   -2.097157
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    51.1582                57.8589                59.7025
 Red. masses --    26.3874                24.5977                24.8844
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.2552                 4.5790                 0.1433
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.10  -0.06   0.05    -0.00   0.05   0.05     0.01   0.06   0.14
   2   6     0.12  -0.06   0.07    -0.02   0.05   0.02    -0.03   0.06   0.11
   3   8     0.11  -0.07   0.05    -0.07   0.08  -0.05    -0.09   0.08   0.04
   4  15     0.23  -0.03  -0.08    -0.06   0.01  -0.17    -0.05   0.02  -0.12
   5  16     0.47   0.05  -0.06    -0.01   0.15  -0.11     0.20  -0.33  -0.28
   6   8     0.06  -0.04  -0.11    -0.14  -0.11  -0.11    -0.14   0.10  -0.22
   7   6     0.03  -0.03  -0.07    -0.12  -0.10  -0.01    -0.08   0.08  -0.16
   8   6     0.01  -0.06  -0.08    -0.10  -0.15   0.03    -0.06   0.06  -0.14
   9  16     0.14  -0.02  -0.22     0.22  -0.13  -0.38    -0.15   0.09   0.09
  10   6    -0.02   0.14  -0.02    -0.06  -0.04  -0.01    -0.00   0.03  -0.04
  11  16     0.05   0.10   0.11     0.07  -0.07   0.42    -0.08   0.11  -0.22
  12  15    -0.23   0.04   0.10     0.04   0.04   0.14     0.06   0.01   0.11
  13  16    -0.50   0.12   0.13     0.36  -0.10   0.05     0.21   0.21   0.44
  14   8    -0.18   0.09   0.08    -0.14   0.09   0.19     0.02  -0.17   0.10
  15   6    -0.08   0.04   0.04    -0.15   0.04   0.12    -0.01  -0.19   0.04
  16   6    -0.04   0.04  -0.01    -0.13  -0.04   0.10    -0.04  -0.16   0.08
  17   8    -0.15  -0.15   0.03    -0.03   0.13  -0.05     0.03   0.01   0.02
  18   6    -0.11  -0.11   0.01     0.03   0.09  -0.12     0.04  -0.03  -0.01
  19   6    -0.07  -0.09  -0.01     0.08   0.06  -0.10     0.07  -0.05  -0.00
  20   1     0.02  -0.02   0.01    -0.01   0.02   0.02    -0.00   0.02   0.04
  21   1     0.03  -0.01   0.01     0.01   0.01   0.00     0.01   0.01   0.03
  22   1     0.03  -0.02   0.02     0.01   0.01   0.03     0.01   0.02   0.05
  23   1     0.04  -0.01   0.02     0.01   0.01   0.00     0.01   0.01   0.03
  24   1     0.03  -0.03   0.03    -0.02   0.02   0.02    -0.02   0.02   0.04
  25   1     0.01  -0.00  -0.02    -0.03  -0.03  -0.00    -0.02   0.01  -0.05
  26   1     0.01  -0.01  -0.02    -0.04  -0.01   0.01    -0.02   0.03  -0.04
  27   1     0.00  -0.02  -0.03    -0.03  -0.04   0.01    -0.02   0.02  -0.04
  28   1     0.00  -0.02  -0.02    -0.02  -0.05   0.00    -0.01   0.01  -0.04
  29   1    -0.00  -0.02  -0.02    -0.03  -0.04   0.02    -0.01   0.02  -0.03
  30   1    -0.02   0.06  -0.03    -0.05  -0.01  -0.02     0.01   0.00  -0.00
  31   1    -0.02   0.05   0.02    -0.04  -0.01   0.00     0.01   0.00  -0.02
