 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        4.897992    0.094054   -1.906267
    2          6             0        4.683798    0.934937   -0.664391
    3          8             0        3.730659    0.361303    0.250457
    4         15             0        2.166921    0.272032   -0.025574
    5         16             0        1.360675    1.752671   -1.016703
    6          8             0        1.549463    0.174174    1.423373
    7          6             0        1.886662   -0.830987    2.410977
    8          6             0        2.967443   -0.340533    3.352843
    9         16             0        1.952279   -1.662176   -0.885465
   10          6             0        0.206956   -1.575743   -1.336893
   11         16             0       -0.916131   -1.837667    0.086177
   12         15             0       -2.142445   -0.129576   -0.051598
   13         16             0       -2.387008    0.620001   -1.849961
   14          8             0       -1.495846    0.823567    1.032613
   15          6             0       -1.701320    2.249484    1.023631
   16          6             0       -3.103780    2.617707    1.458846
   17          8             0       -3.459307   -0.603518    0.704360
   18          6             0       -4.451036   -1.454003    0.089906
   19          6             0       -5.642416   -0.637455   -0.374184
   20          1             0        5.181560   -0.920763   -1.640843
   21          1             0        3.987692    0.062343   -2.502399
   22          1             0        5.688699    0.544014   -2.499648
   23          1             0        4.339033    1.937381   -0.934802
   24          1             0        5.597705    1.005277   -0.071787
   25          1             0        0.947370   -1.007955    2.939409
   26          1             0        2.195944   -1.744412    1.895437
   27          1             0        3.899156   -0.184746    2.815876
   28          1             0        2.666881    0.595457    3.816076
   29          1             0        3.120724   -1.087551    4.125902
   30          1             0        0.040822   -2.382851   -2.045966
   31          1             0       -0.016166   -0.604956   -1.787798
   32          1             0       -0.944628    2.627043    1.713142
   33          1             0       -1.490255    2.624807    0.016071
   34          1             0       -3.322444    2.182851    2.430555
   35          1             0       -3.186723    3.698728    1.517461
   36          1             0       -3.826317    2.245359    0.733792
   37          1             0       -3.999942   -1.994273   -0.746946
   38          1             0       -4.736081   -2.162756    0.869738
   39          1             0       -6.058051   -0.074455    0.456924
   40          1             0       -5.341800    0.055798   -1.156979
   41          1             0       -6.401395   -1.306251   -0.767853
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    53.8489                55.9052                59.5293
 Red. masses --    26.6130                23.9536                25.5503
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.7085                 1.7102                 6.2303
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.11  -0.09   0.01    -0.06  -0.04  -0.03     0.04  -0.04   0.01
   2   6     0.15  -0.11   0.04    -0.03  -0.01  -0.05     0.04  -0.07   0.03
   3   8     0.16  -0.13   0.03     0.01   0.02   0.01     0.01  -0.10  -0.02
   4  15     0.21   0.09   0.01    -0.01  -0.01   0.17     0.02  -0.01  -0.11
   5  16     0.55   0.26  -0.01    -0.22   0.09   0.48     0.17   0.20   0.08
   6   8     0.10   0.13  -0.00     0.10  -0.13   0.15    -0.06  -0.11  -0.12
   7   6     0.00   0.09   0.00     0.17  -0.14   0.07    -0.08  -0.12  -0.11
   8   6     0.00   0.03   0.04     0.19  -0.12   0.04    -0.13  -0.13  -0.06
   9  16    -0.06   0.11   0.03     0.03   0.09  -0.06     0.00   0.11  -0.38
  10   6    -0.02   0.13  -0.02     0.02   0.04  -0.03    -0.07  -0.00   0.06
  11  16    -0.13  -0.05  -0.15     0.05   0.09  -0.03     0.27   0.21   0.46
  12  15    -0.22  -0.10  -0.01    -0.02   0.02  -0.17    -0.00  -0.01   0.15
  13  16    -0.42  -0.06   0.03    -0.25  -0.31  -0.28     0.13  -0.27   0.03
  14   8    -0.08  -0.07  -0.06     0.07   0.11  -0.26    -0.15   0.11   0.09
  15   6    -0.03  -0.05  -0.05     0.02   0.09  -0.20    -0.16   0.09  -0.02
  16   6    -0.02  -0.02  -0.03     0.04   0.05  -0.10    -0.18   0.08  -0.08
  17   8    -0.09  -0.11   0.07     0.05   0.07   0.01    -0.04  -0.04   0.02
  18   6    -0.10  -0.08   0.07    -0.01   0.05   0.10    -0.01  -0.01  -0.05
  19   6    -0.08  -0.06   0.05    -0.02   0.05   0.13     0.01   0.01  -0.08
  20   1     0.03  -0.03  -0.00    -0.02  -0.01  -0.01     0.00  -0.02  -0.00
  21   1     0.03  -0.02   0.01    -0.02  -0.01  -0.01     0.01  -0.00  -0.00
  22   1     0.03  -0.03   0.00    -0.02  -0.02  -0.02     0.02  -0.01   0.01
  23   1     0.05  -0.03   0.02    -0.01  -0.00  -0.02     0.02  -0.02   0.01
  24   1     0.04  -0.04   0.01    -0.00   0.00  -0.02     0.01  -0.03   0.01
  25   1    -0.01   0.04  -0.01     0.06  -0.05   0.03    -0.03  -0.04  -0.05
  26   1    -0.01   0.02   0.00     0.05  -0.03   0.01    -0.02  -0.03  -0.04
  27   1     0.01   0.00   0.02     0.05  -0.02   0.00    -0.03  -0.03  -0.00
  28   1     0.01   0.01   0.01     0.05  -0.04   0.01    -0.04  -0.04  -0.02
  29   1    -0.01   0.01   0.01     0.07  -0.03   0.01    -0.05  -0.04  -0.02
  30   1    -0.00   0.06  -0.03     0.01   0.01  -0.01    -0.05  -0.02   0.05
  31   1    -0.00   0.05   0.02     0.00   0.01  -0.01    -0.05  -0.01   0.00
