 CONF#         E (xTB)          ΔE (xTB)          E (DFT)           ΔE (DFT)        ΔGsolv (xTB)           Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]           [Eh]           [kcal/mol]        [kcal/mol]            [Eh]           [kcal/mol]        % at 298.15 K     
CONF83        -64.652343          1.42          -1979.014574          6.52           -14.986772        -1979.038457          3.32                0.01         
CONF88        -64.652167          1.53          -1979.014185          6.76           -15.031024        -1979.038138          3.52                0.01         
CONF96        -64.651870          1.72          -1979.014661          6.46           -15.083702        -1979.038699          3.17                0.02         
CONF98        -64.651683          1.84          -1979.013908          6.93           -15.133462        -1979.038025          3.59                0.01         
CONF105       -64.650867          2.35          -1979.013643          7.10           -15.541252        -1979.038409          3.35                0.01         
CONF112       -64.650662          2.48          -1979.013400          7.25           -15.586697        -1979.038239          3.46                0.01         
CONF117       -64.650824          2.38          -1979.013434          7.23           -15.424817        -1979.038015          3.60                0.01         
CONF121       -64.650860          2.35          -1979.013718          7.05           -15.352595        -1979.038184          3.49                0.01         
CONF125       -64.650528          2.56          -1979.013361          7.28           -15.491599        -1979.038049          3.58                0.01         
CONF126       -64.652262          1.47          -1979.015856          5.71           -14.370839        -1979.038758          3.13                0.02         
CONF127       -64.652176          1.53          -1979.016052          5.59           -14.422686        -1979.039036          2.96                0.02         
CONF130       -64.649863          2.98          -1979.012774          7.65           -15.811720        -1979.037971          3.63                0.01         
CONF157       -64.654610          0.00          -1979.019941          3.15           -12.301386        -1979.039545          2.64                0.04         
CONF158       -64.654261          0.22          -1979.018941          3.78           -12.517172        -1979.038888          3.05                0.02         
CONF167       -64.654250          0.23          -1979.019654          3.33           -12.389726        -1979.039398          2.73                0.04         
CONF171       -64.653700          0.57          -1979.019328          3.53           -12.684038        -1979.039542          2.64                0.04         
CONF181       -64.652319          1.44          -1979.021915          1.91           -13.422664        -1979.043305          0.28                2.23         
CONF185       -64.652639          1.24          -1979.022659          1.44           -13.172421        -1979.043651          0.06                3.22         
CONF192       -64.652792          1.14          -1979.022649          1.45           -13.002376        -1979.043370          0.24                2.39         
CONF200       -64.652830          1.12          -1979.017678          4.57           -12.864054        -1979.038178          3.50                0.01         
CONF201       -64.651568          1.91          -1979.021355          2.26           -13.558596        -1979.042962          0.49                1.55         
CONF202       -64.651506          1.95          -1979.021194          2.36           -13.591407        -1979.042853          0.56                1.38         
CONF203       -64.651469          1.97          -1979.021007          2.48           -13.610604        -1979.042697          0.66                1.17         
CONF207       -64.651842          1.74          -1979.022357          1.63           -13.320235        -1979.043584          0.10                3.00         
CONF208       -64.651764          1.79          -1979.022099          1.79           -13.366300        -1979.043400          0.22                2.47         
CONF210       -64.652937          1.05          -1979.018637          3.97           -12.614401        -1979.038740          3.14                0.02         
CONF211       -64.652302          1.45          -1979.022903          1.29           -13.008072        -1979.043633          0.07                3.16         
CONF213       -64.652412          1.38          -1979.016822          5.11           -12.922265        -1979.037415          3.97                0.00         
CONF214       -64.652184          1.52          -1979.017134          4.91           -13.055548        -1979.037939          3.65                0.01         
CONF221       -64.651725          1.81          -1979.016639          5.22           -13.258804        -1979.037768          3.75                0.01         
CONF223       -64.651543          1.92          -1979.021888          1.93           -13.342140        -1979.043150          0.38                1.89         
CONF227       -64.652261          1.47          -1979.017498          4.68           -12.818507        -1979.037925          3.65                0.01         
CONF228       -64.652244          1.48          -1979.017432          4.72           -12.825015        -1979.037870          3.69                0.01         
CONF230       -64.653398          0.76          -1979.019801          3.24           -12.096615        -1979.039078          2.93                0.03         
CONF232       -64.651359          2.04          -1979.016705          5.18           -13.380355        -1979.038028          3.59                0.01         
CONF234       -64.652203          1.51          -1979.017253          4.84           -12.840412        -1979.037716          3.79                0.01         
CONF238       -64.651101          2.20          -1979.016230          5.48           -13.504681        -1979.037751          3.76                0.01         
CONF239       -64.650694          2.46          -1979.021209          2.35           -13.749835        -1979.043121          0.39                1.84         
CONF247       -64.651163          2.16          -1979.016396          5.37           -13.408902        -1979.037764          3.76                0.01         
CONF248       -64.651415          2.01          -1979.016421          5.36           -13.245591        -1979.037529          3.90                0.00         
CONF249       -64.651407          2.01          -1979.016615          5.24           -13.249243        -1979.037729          3.78                0.01         
CONF255       -64.650839          2.37          -1979.021369          2.25           -13.582594        -1979.043014          0.46                1.64         
CONF256       -64.651806          1.76          -1979.022449          1.57           -12.971873        -1979.043121          0.39                1.84         
CONF257       -64.651807          1.76          -1979.022471          1.56           -12.970730        -1979.043141          0.38                1.88         
CONF269       -64.650855          2.36          -1979.021553          2.14           -13.509703        -1979.043082          0.42                1.76         
CONF273       -64.653042          0.98          -1979.018807          3.86           -12.112755        -1979.038110          3.54                0.01         
CONF278       -64.652853          1.10          -1979.020023          3.10           -12.182695        -1979.039438          2.71                0.04         
CONF279       -64.652855          1.10          -1979.019991          3.12           -12.179734        -1979.039400          2.73                0.04         
CONF291       -64.649894          2.96          -1979.020938          2.52           -13.910064        -1979.043105          0.40                1.81         
CONF292       -64.651156          2.17          -1979.022241          1.71           -13.111473        -1979.043135          0.39                1.86         
CONF294       -64.649869          2.97          -1979.020449          2.83           -13.903429        -1979.042605          0.72                1.06         
CONF295       -64.650295          2.71          -1979.015786          5.76           -13.635651        -1979.037516          3.91                0.00         
CONF303       -64.649314          3.32          -1979.020693          2.68           -14.224310        -1979.043361          0.24                2.37         
CONF307       -64.651658          1.85          -1979.017180          4.88           -12.743474        -1979.037488          3.93                0.00         
CONF318       -64.648703          3.71          -1979.020053          3.08           -14.515475        -1979.043185          0.35                1.96         
CONF321       -64.652169          1.53          -1979.018259          4.20           -12.303494        -1979.037866          3.69                0.01         
CONF324       -64.648774          3.66          -1979.020701          2.67           -14.407115        -1979.043660          0.06                3.25         
CONF326       -64.651944          1.67          -1979.019843          3.21           -12.396905        -1979.039598          2.60                0.04         
CONF329       -64.650157          2.79          -1979.016716          5.17           -13.502772        -1979.038234          3.46                0.01         
CONF339       -64.651014          2.26          -1979.016937          5.03           -12.898198        -1979.037492          3.93                0.00         
CONF343       -64.649629          3.13          -1979.021558          2.13           -13.760026        -1979.043486          0.17                2.70         
CONF345       -64.653554          0.66          -1979.021847          1.95           -11.287854        -1979.039835          2.46                0.06         
CONF346       -64.653769          0.53          -1979.023180          1.12           -11.150852        -1979.040950          1.76                0.18         
CONF348       -64.649861          2.98          -1979.018016          4.36           -13.567221        -1979.039637          2.58                0.05         
CONF349       -64.649329          3.31          -1979.015723          5.80           -13.899308        -1979.037873          3.69                0.01         
CONF350       -64.647810          4.27          -1979.019973          3.13           -14.847787        -1979.043634          0.07                3.16         
CONF351       -64.647826          4.26          -1979.020054          3.08           -14.833208        -1979.043693          0.04                3.37         
CONF353       -64.653333          0.80          -1979.021510          2.16           -11.373651        -1979.039635          2.58                0.05         
CONF355       -64.649719          3.07          -1979.016196          5.50           -13.631914        -1979.037920          3.66                0.01         
CONF358       -64.651694          1.83          -1979.020257          2.95           -12.374067        -1979.039976          2.37                0.07         
CONF359       -64.651705          1.82          -1979.020287          2.93           -12.365202        -1979.039992          2.36                0.07         
CONF360       -64.649054          3.49          -1979.020939          2.52           -14.010240        -1979.043266          0.30                2.14         
CONF368       -64.648722          3.69          -1979.020746          2.64           -14.175481        -1979.043336          0.26                2.31         
CONF371       -64.648748          3.68          -1979.015029          6.23           -14.140643        -1979.037563          3.88                0.01         
CONF372       -64.648554          3.80          -1979.020393          2.86           -14.262219        -1979.043121          0.39                1.84         
CONF376       -64.651439          1.99          -1979.019634          3.34           -12.405833        -1979.039404          2.73                0.04         
CONF377       -64.647145          4.68          -1979.019471          3.44           -15.098081        -1979.043531          0.14                2.84         
CONF380       -64.651321          2.06          -1979.023763          0.75           -12.464383        -1979.043626          0.08                3.14         
CONF381       -64.651346          2.05          -1979.023668          0.81           -12.447894        -1979.043505          0.15                2.76         
CONF382       -64.651304          2.07          -1979.023866          0.69           -12.473800        -1979.043744          0.00                3.55         
CONF383       -64.651498          1.95          -1979.022960          1.25           -12.346815        -1979.042636          0.70                1.10         
CONF386       -64.651005          2.26          -1979.023615          0.84           -12.634086        -1979.043749          0.00                3.57         
CONF388       -64.651527          1.93          -1979.020082          3.06           -12.303759        -1979.039690          2.55                0.05         
CONF389       -64.651008          2.26          -1979.022271          1.69           -12.620171        -1979.042383          0.86                0.84         
CONF396       -64.651403          2.01          -1979.020062          3.07           -12.345770        -1979.039736          2.52                0.05         
CONF398       -64.650952          2.30          -1979.021954          1.89           -12.620056        -1979.042065          1.06                0.60         
