 CONF#         G (xTB)          ΔG (xTB)          E (DFT)           ΔGsolv         GmRRHO           Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]           [Eh]             [Eh]           [Eh]            [Eh]           [kcal/mol]        % at 298.15 K     
CONF83        -64.676226          ---           -1981.446113       -0.016003        ---         -1981.462116          5.63                0.00         
CONF88        -64.676120          ---           -1981.445743       -0.016111        ---         -1981.461855          5.79                0.00         
CONF96        -64.675907          ---           -1981.446425       -0.016289        ---         -1981.462714          5.25                0.00         
CONF98        -64.675800          ---           -1981.445900       -0.016493        ---         -1981.462393          5.45                0.00         
CONF105       -64.675633          ---           -1981.445821       -0.017092        ---         -1981.462912          5.13                0.00         
CONF112       -64.675501          ---           -1981.445557       -0.017186        ---         -1981.462743          5.23                0.00         
CONF117       -64.675405          ---           -1981.445072       -0.016603        ---         -1981.461675          5.90                0.00         
CONF121       -64.675326          ---           -1981.445863       -0.017046        ---         -1981.462909          5.13                0.00         
CONF125       -64.675215          ---           -1981.444578       -0.016638        ---         -1981.461216          6.19                0.00         
CONF126       -64.675163          ---           -1981.447473       -0.015292        ---         -1981.462765          5.22                0.00         
CONF127       -64.675160          ---           -1981.447627       -0.015367        ---         -1981.462994          5.08                0.00         
CONF130       -64.675060          ---           -1981.445163       -0.017706        ---         -1981.462869          5.15                0.00         
CONF157       -64.674213          ---           -1981.451545       -0.013832        ---         -1981.465377          3.58                0.01         
CONF158       -64.674209          ---           -1981.450879       -0.013791        ---         -1981.464670          4.02                0.01         
CONF167       -64.673994          ---           -1981.452778       -0.014447        ---         -1981.467225          2.42                0.10         
CONF171       -64.673914          ---           -1981.452863       -0.014914        ---         -1981.467777          2.07                0.18         
CONF181       -64.673709          ---           -1981.453713       -0.015062        ---         -1981.468775          1.45                0.52         
CONF185       -64.673631          ---           -1981.454833       -0.014854        ---         -1981.469687          0.88                1.37         
CONF192       -64.673513          ---           -1981.455019       -0.014675        ---         -1981.469694          0.87                1.38         
CONF200       -64.673330          ---           -1981.449172       -0.014864        ---         -1981.464036          4.42                0.00         
CONF201       -64.673175          ---           -1981.453665       -0.015508        ---         -1981.469173          1.20                0.79         
CONF202       -64.673165          ---           -1981.453257       -0.015400        ---         -1981.468656          1.52                0.46         
CONF203       -64.673159          ---           -1981.452690       -0.015165        ---         -1981.467856          2.02                0.20         
CONF207       -64.673069          ---           -1981.454926       -0.015376        ---         -1981.470302          0.49                2.62         
CONF208       -64.673065          ---           -1981.454470       -0.015279        ---         -1981.469749          0.84                1.46         
CONF210       -64.673040          ---           -1981.451375       -0.014454        ---         -1981.465829          3.30                0.02         
CONF211       -64.673032          ---           -1981.455109       -0.014454        ---         -1981.469563          0.95                1.20         
CONF213       -64.673005          ---           -1981.446712       -0.014091        ---         -1981.460803          6.45                0.00         
CONF214       -64.672990          ---           -1981.449867       -0.015966        ---         -1981.465832          3.29                0.02         
