 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        4.377824   -3.837188   -1.533062
    2          6             0        4.014852   -2.678495   -0.623390
    3          8             0        3.130605   -1.795708   -1.343939
    4          6             0        2.406570   -0.928130   -0.672866
    5          8             0        2.396949   -0.822305    0.536728
    6          6             0        1.596147   -0.046858   -1.602081
    7          6             0        0.358274    0.488361   -0.896657
    8          1             0       -0.153383    1.228530   -1.521030
    9          6             0        0.685381    1.171066    0.423522
   10          8             0        0.063545    0.970642    1.445152
   11          8             0        1.634799    2.059886    0.254253
   12          6             0        2.079233    2.861611    1.368804
   13          6             0        3.214086    2.173051    2.108483
   14         16             0       -0.814203   -0.879748   -0.598616
   15         15             0       -2.446423    0.213985    0.187198
   16         16             0       -2.567286    2.099753   -0.310758
   17          8             0       -3.687649   -0.675743   -0.314418
   18          6             0       -4.137615   -0.686899   -1.674484
   19          8             0       -2.570844   -0.042582    1.740592
   20          6             0       -2.318816   -1.335064    2.322049
   21          1             0        4.831391   -3.464659   -2.446571
   22          1             0        5.083795   -4.483887   -1.022159
   23          1             0        3.491170   -4.409239   -1.789290
   24          1             0        4.901306   -2.103170   -0.339726
   25          1             0        3.509711   -3.014041    0.287192
   26          1             0        1.320036   -0.614328   -2.489483
   27          1             0        2.229138    0.793273   -1.895957
   28          1             0        2.413570    3.793072    0.909006
   29          1             0        1.229779    3.049642    2.031051
   30          1             0        4.034612    1.968924    1.426075
   31          1             0        3.564291    2.815673    2.909473
   32          1             0        2.868771    1.230387    2.527143
   33          1             0       -5.065983   -1.253767   -1.667953
   34          1             0       -3.398292   -1.170620   -2.312281
   35          1             0       -4.317717    0.333035   -2.016871
   36          1             0       -2.670718   -1.260981    3.347374
   37          1             0       -1.246928   -1.533511    2.300299
   38          1             0       -2.861075   -2.107846    1.779219
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    59.6758                62.9723                67.1465
 Red. masses --    21.3676                19.0020                20.2261
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --    10.5614                10.5398                 1.8977
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.11  -0.02  -0.19     0.01   0.04  -0.10    -0.15  -0.15   0.09
   2   6    -0.10  -0.04  -0.15     0.09   0.04  -0.06    -0.19  -0.16   0.09
   3   8    -0.17  -0.05  -0.11     0.18   0.16  -0.03    -0.23  -0.21   0.08
   4   6     0.05   0.08  -0.03    -0.05  -0.07   0.03     0.04   0.05   0.03
   5   8     0.33   0.20  -0.05    -0.34  -0.37   0.05     0.24   0.26   0.01
   6   6    -0.04   0.08   0.05     0.02   0.03   0.05     0.09   0.06  -0.01
   7   6    -0.01   0.01   0.16     0.03   0.06   0.04     0.09   0.13  -0.05
   8   1    -0.03  -0.00   0.06     0.01   0.01   0.01     0.04   0.04  -0.02
   9   6     0.05   0.01   0.15     0.03   0.09   0.02     0.07   0.12  -0.04
  10   8     0.15  -0.05   0.22    -0.12   0.31  -0.03     0.04   0.15  -0.07
  11   8    -0.01   0.07   0.12     0.24  -0.10   0.07     0.12   0.10  -0.01
  12   6     0.04   0.03   0.10     0.21  -0.07   0.05     0.13   0.03   0.03
  13   6     0.05  -0.01   0.06     0.20  -0.09   0.06     0.09  -0.04   0.02
  14  16     0.14  -0.09   0.38     0.05   0.11   0.10     0.10   0.23  -0.19
  15  15    -0.07  -0.06  -0.08    -0.07   0.01  -0.01    -0.02  -0.06  -0.03
  16  16    -0.01  -0.16  -0.46    -0.40  -0.08  -0.26    -0.47  -0.03   0.20
  17   8    -0.00  -0.10  -0.06     0.04  -0.15   0.03     0.10  -0.18  -0.05
  18   6    -0.05  -0.01  -0.03    -0.01  -0.07   0.04     0.03  -0.05  -0.03
  19   8    -0.12   0.12  -0.04    -0.02   0.07   0.01     0.07  -0.13  -0.03
  20   6    -0.10   0.13   0.05     0.05   0.08   0.03     0.06  -0.12  -0.06
  21   1    -0.04   0.00  -0.05     0.00   0.01  -0.03    -0.04  -0.04   0.03
  22   1    -0.03  -0.01  -0.06    -0.00   0.00  -0.04    -0.04  -0.04   0.03
  23   1    -0.03  -0.00  -0.05    -0.00   0.02  -0.03    -0.04  -0.05   0.02
  24   1    -0.03  -0.01  -0.05     0.04  -0.01  -0.01    -0.06  -0.04   0.03
  25   1    -0.02  -0.02  -0.04     0.02   0.01  -0.02    -0.06  -0.05   0.02
  26   1    -0.02   0.03   0.02     0.00   0.02   0.00     0.02   0.02   0.00
  27   1    -0.03   0.03   0.01     0.02  -0.00   0.02     0.04   0.01  -0.00
  28   1     0.02   0.01   0.03     0.07  -0.02   0.01     0.05   0.01   0.02
  29   1     0.02   0.01   0.04     0.06  -0.02   0.01     0.04   0.01   0.01
  30   1     0.01  -0.01   0.01     0.06  -0.03   0.02     0.02  -0.02   0.01
  31   1     0.02  -0.01   0.02     0.06  -0.03   0.02     0.03  -0.02   0.01
  32   1     0.01  -0.00   0.01     0.05  -0.03   0.01     0.01  -0.01  -0.00
  33   1    -0.02   0.01  -0.01    -0.01  -0.02   0.01     0.01  -0.01  -0.01
  34   1    -0.02  -0.00  -0.02    -0.01  -0.01  -0.00     0.00  -0.00  -0.03
  35   1    -0.01   0.00   0.01    -0.00  -0.01   0.03     0.01  -0.01   0.01
  36   1    -0.03   0.05   0.01     0.02   0.03   0.01     0.02  -0.04  -0.02
  37   1    -0.03   0.04   0.02     0.02   0.03   0.00     0.02  -0.04  -0.02
  38   1    -0.02   0.03   0.02     0.02   0.01   0.02     0.01  -0.03  -0.02
                      4                      5                      6
                        a                      a                      a 
 Frequencies --    78.4240                78.7908                88.3649
 Red. masses --    19.7483                18.5558                13.9482
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.7549                 7.7878                 4.2617
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.13   0.04   0.08    -0.24  -0.04   0.01    -0.05  -0.11  -0.14
   2   6     0.11   0.06   0.05    -0.19  -0.04   0.02    -0.04  -0.16  -0.07
   3   8     0.07   0.00   0.03    -0.10   0.05   0.00    -0.03  -0.10  -0.01
   4   6     0.06   0.02   0.01    -0.07   0.07  -0.02    -0.05  -0.17   0.07
   5   8     0.14   0.11   0.00    -0.20   0.03  -0.02    -0.17  -0.42   0.10
   6   6     0.01  -0.05  -0.01     0.05   0.15  -0.05     0.08   0.01   0.12
   7   6     0.01  -0.01  -0.00     0.01   0.09  -0.08     0.07   0.06   0.08
   8   1     0.03   0.03   0.02    -0.01   0.02  -0.02     0.04   0.02   0.02
   9   6     0.06  -0.18   0.07    -0.08   0.05  -0.04     0.05   0.04   0.10
  10   8     0.18  -0.39   0.11    -0.18   0.01  -0.11     0.29  -0.18   0.21
  11   8    -0.01  -0.10   0.10    -0.08   0.06   0.09    -0.17   0.28   0.02
  12   6     0.00  -0.12   0.10    -0.14  -0.02   0.15    -0.14   0.27  -0.01
  13   6     0.06  -0.08   0.04    -0.17  -0.06   0.17    -0.07   0.32  -0.06
  14  16    -0.25   0.12  -0.39     0.15  -0.00  -0.24     0.06   0.11  -0.08
  15  15    -0.12   0.10  -0.08     0.27  -0.06   0.04    -0.00  -0.00  -0.09
  16  16    -0.24   0.06  -0.19     0.23  -0.15  -0.30    -0.06   0.03   0.05
  17   8    -0.11   0.01   0.15     0.14  -0.07   0.19     0.04  -0.05  -0.05
  18   6    -0.16  -0.10   0.15    -0.04  -0.03   0.22     0.00  -0.06  -0.03
  19   8     0.12   0.17  -0.02     0.27   0.05   0.05     0.07   0.01  -0.06
  20   6     0.18   0.19   0.04     0.13   0.03   0.07     0.12   0.03  -0.04
  21   1     0.03   0.01   0.02    -0.06  -0.01   0.01    -0.02  -0.02  -0.04
  22   1     0.04   0.02   0.03    -0.08  -0.02   0.00    -0.01  -0.04  -0.05
  23   1     0.04   0.01   0.03    -0.08  -0.00  -0.00    -0.02  -0.03  -0.04
  24   1     0.03   0.03   0.00    -0.05  -0.03   0.02    -0.01  -0.05  -0.01
  25   1     0.04   0.02   0.02    -0.07  -0.00  -0.00    -0.01  -0.06  -0.03
  26   1    -0.00  -0.02   0.01     0.03   0.06  -0.03     0.02   0.03   0.02
  27   1    -0.00  -0.01  -0.02     0.02   0.05   0.02     0.05  -0.01   0.06
  28   1    -0.02  -0.03   0.03    -0.03   0.00   0.07    -0.06   0.08  -0.01
  29   1     0.01  -0.05   0.04    -0.05  -0.02   0.03    -0.03   0.07   0.01
  30   1     0.01  -0.01   0.00    -0.04  -0.01   0.05    -0.03   0.10  -0.03
  31   1     0.02  -0.02   0.01    -0.05  -0.03   0.06    -0.02   0.09  -0.02
  32   1     0.03  -0.03   0.01    -0.05  -0.02   0.03    -0.01   0.09  -0.01
  33   1    -0.04  -0.04   0.06    -0.01  -0.00   0.09     0.00  -0.02  -0.00
  34   1    -0.05  -0.03   0.04    -0.03  -0.01   0.03    -0.00  -0.01  -0.01
  35   1    -0.06  -0.04   0.03    -0.02  -0.01   0.07    -0.01  -0.02  -0.01
  36   1     0.05   0.06   0.01     0.04   0.02   0.02     0.04   0.01  -0.01
  37   1     0.05   0.07   0.01     0.03  -0.02   0.02     0.04   0.02  -0.01
  38   1     0.06   0.04   0.02     0.02   0.02   0.03     0.04  -0.00  -0.00
                      7                      8                      9
                        a                      a                      a 
 Frequencies --    87.4557                94.5191                91.2697
 Red. masses --    13.8639                12.9349                12.0406
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     3.2850                 0.3004                 0.9947
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.27  -0.03  -0.23    -0.06   0.03  -0.16     0.33   0.26  -0.05
   2   6     0.11  -0.16  -0.14     0.06  -0.05   0.01    -0.20  -0.01   0.07
   3   8    -0.05  -0.28  -0.06     0.03   0.03   0.20    -0.45  -0.24   0.07
   4   6     0.11  -0.16   0.02     0.08   0.03   0.23    -0.23  -0.05   0.02
   5   8     0.35  -0.12   0.01     0.17   0.03   0.27    -0.20   0.05   0.01
   6   6     0.08  -0.13   0.06     0.07   0.00   0.21    -0.11   0.03  -0.00
   7   6     0.05  -0.06  -0.03    -0.02  -0.03   0.06    -0.07   0.06   0.03
   8   1     0.03  -0.03  -0.04     0.01  -0.02  -0.01    -0.03   0.02   0.02
   9   6    -0.10   0.06  -0.06    -0.15   0.06   0.05    -0.01   0.01   0.04
  10   8    -0.33   0.19  -0.17    -0.25   0.14   0.02    -0.02   0.04   0.05
  11   8    -0.03  -0.02   0.05    -0.14   0.02   0.04     0.06  -0.06   0.06
  12   6    -0.17   0.02   0.07     0.03  -0.01  -0.01     0.08  -0.04   0.03
  13   6    -0.22   0.06   0.19     0.23   0.02  -0.30     0.18   0.02  -0.05
  14  16    -0.06   0.03   0.01    -0.08  -0.07  -0.15    -0.04   0.03  -0.00
  15  15     0.03   0.15   0.09    -0.02  -0.07  -0.05    -0.00   0.01  -0.01
  16  16    -0.11   0.11  -0.05     0.13  -0.08  -0.11     0.19   0.01  -0.07
  17   8     0.03   0.07   0.09    -0.10   0.06  -0.01    -0.02   0.03  -0.01
  18   6     0.06  -0.04   0.07    -0.24   0.23   0.04     0.14  -0.14  -0.06
  19   8     0.01   0.10   0.06     0.03  -0.13  -0.05     0.00  -0.03  -0.01
  20   6     0.02   0.07   0.01     0.18  -0.10  -0.07     0.19  -0.01  -0.04
  21   1     0.07   0.03  -0.05    -0.04   0.03  -0.05     0.10   0.16   0.02
  22   1     0.09   0.00  -0.07    -0.01  -0.02  -0.09     0.13   0.11  -0.01
  23   1     0.10  -0.03  -0.08    -0.03   0.03  -0.04     0.16   0.01  -0.08
  24   1     0.01  -0.01  -0.03     0.03  -0.03  -0.01    -0.13   0.07   0.08
  25   1     0.05  -0.09  -0.04     0.04  -0.04   0.01    -0.06  -0.09  -0.01
  26   1     0.02  -0.03   0.01     0.05  -0.00   0.05    -0.04   0.02  -0.01
  27   1     0.03  -0.04   0.02     0.02   0.01   0.07    -0.01  -0.00   0.02
