 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        5.131670   -3.021326   -0.963699
    2          6             0        4.589186   -1.898864   -0.092369
    3          8             0        3.148455   -1.901699   -0.089756
    4          6             0        2.518444   -1.239949   -1.036367
    5          8             0        3.058836   -0.615263   -1.924733
    6          6             0        1.011688   -1.384051   -0.909177
    7          6             0        0.366444   -0.043901   -1.235002
    8          1             0        0.716446    0.282731   -2.223240
    9          6             0        0.826295    1.028208   -0.264370
   10          8             0        1.875539    0.941864    0.331380
   11          8             0        0.026794    2.076395   -0.242079
   12          6             0        0.479701    3.250038    0.469924
   13          6             0        0.225824    3.153343    1.963677
   14         16             0       -1.437922   -0.132815   -1.419908
   15         15             0       -2.103885    0.019809    0.593330
   16         16             0       -0.877012   -0.552064    2.007625
   17          8             0       -2.631404    1.490055    0.824024
   18          6             0       -3.581901    2.112883   -0.063674
   19          8             0       -3.491105   -0.775743    0.526579
   20          6             0       -3.552632   -2.199128    0.374634
   21          1             0        4.735553   -3.976318   -0.629837
   22          1             0        4.846287   -2.860018   -2.000643
   23          1             0        6.214248   -3.037624   -0.894121
   24          1             0        4.933328   -0.923766   -0.448859
   25          1             0        4.863753   -2.036737    0.953574
   26          1             0        0.773544   -1.711311    0.103514
   27          1             0        0.676890   -2.133753   -1.627774
   28          1             0        1.549109    3.369457    0.271340
   29          1             0       -0.085743    4.065672    0.019118
   30          1             0        0.791218    2.326059    2.388395
   31          1             0        0.541938    4.076693    2.437932
   32          1             0       -0.830545    2.987488    2.159428
   33          1             0       -4.522518    1.566359   -0.043859
   34          1             0       -3.181108    2.134228   -1.076847
   35          1             0       -3.712764    3.120799    0.321027
   36          1             0       -3.224266   -2.482858   -0.624897
   37          1             0       -4.597631   -2.462354    0.520906
   38          1             0       -2.929760   -2.685334    1.126374
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    53.7637                54.2309                63.0070
 Red. masses --    19.1127                18.9998                18.4853
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     4.6348                 7.4659                 4.5051
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.06  -0.02  -0.10    -0.11   0.05   0.29    -0.10  -0.19   0.06
   2   6     0.10  -0.01  -0.10    -0.13   0.10   0.21    -0.12  -0.20   0.06
   3   8     0.11  -0.01  -0.07    -0.15   0.16   0.17    -0.14  -0.19  -0.07
   4   6     0.07   0.10   0.04    -0.07   0.00   0.00    -0.03   0.10   0.06
   5   8     0.04   0.29   0.15    -0.00  -0.17  -0.08     0.07   0.39   0.32
   6   6     0.07   0.03   0.04    -0.07   0.04  -0.06    -0.04   0.05  -0.12
   7   6     0.00  -0.01   0.03    -0.04   0.06  -0.09    -0.05   0.06  -0.06
   8   1    -0.01   0.00   0.01    -0.01   0.00  -0.03    -0.01   0.04  -0.01
   9   6    -0.04   0.02   0.02     0.01   0.08  -0.14    -0.11   0.01   0.03
  10   8    -0.15  -0.03   0.21     0.07   0.12  -0.25    -0.23  -0.08   0.21
  11   8     0.06   0.10  -0.19    -0.01   0.06  -0.08    -0.03   0.08  -0.11
  12   6     0.07   0.10  -0.21    -0.00   0.06  -0.08    -0.03   0.05  -0.06
  13   6     0.07   0.17  -0.20     0.02   0.05  -0.07    -0.08   0.05  -0.07
  14  16     0.01  -0.18   0.09    -0.07   0.18  -0.06    -0.07   0.04  -0.11
  15  15    -0.07  -0.11   0.06     0.09  -0.12   0.02     0.13  -0.02  -0.04
  16  16    -0.29  -0.42   0.12     0.15  -0.47  -0.18     0.40   0.09  -0.22
  17   8     0.14  -0.01   0.04     0.15  -0.08   0.19     0.04  -0.04   0.01
  18   6     0.20   0.10   0.02     0.13   0.04   0.23    -0.03  -0.06   0.06
  19   8    -0.14   0.09  -0.05     0.02  -0.01   0.00     0.12  -0.08   0.12
  20   6    -0.21   0.08   0.02    -0.05   0.00  -0.02     0.11  -0.06   0.08
  21   1     0.02  -0.00  -0.02    -0.04   0.02   0.09    -0.04  -0.05   0.00
  22   1     0.01  -0.01  -0.03    -0.02   0.00   0.08    -0.01  -0.04   0.01
  23   1     0.02  -0.01  -0.04    -0.03   0.01   0.10    -0.03  -0.06   0.03
  24   1     0.03  -0.00  -0.03    -0.03   0.02   0.05    -0.02  -0.06   0.04
  25   1     0.04  -0.00  -0.03    -0.05   0.04   0.07    -0.06  -0.07   0.02
  26   1     0.03   0.01   0.01    -0.03   0.02  -0.02    -0.03  -0.01  -0.05
  27   1     0.03   0.00   0.01    -0.02   0.01  -0.02     0.01   0.03  -0.06
  28   1     0.02   0.02  -0.06    -0.00   0.02  -0.03    -0.01   0.01  -0.01
  29   1     0.03   0.03  -0.07    -0.00   0.02  -0.02     0.00   0.02  -0.02
  30   1     0.02   0.05  -0.05     0.01   0.01  -0.02    -0.03   0.01  -0.02
