 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        5.437353   -1.890788   -0.928868
    2          6             0        4.211601   -2.768619   -1.125788
    3          8             0        3.170260   -2.051246   -1.818151
    4          6             0        2.377314   -1.260451   -1.125863
    5          8             0        2.419973   -1.115176    0.077726
    6          6             0        1.399115   -0.534766   -2.026722
    7          6             0        0.343691    0.177622   -1.191898
    8          1             0       -0.265718    0.832418   -1.824701
    9          6             0        1.018547    1.059357   -0.152056
   10          8             0        1.972025    1.750521   -0.434263
   11          8             0        0.406247    1.048491    1.011095
   12          6             0        0.949329    1.841787    2.088278
   13          6             0        1.573222    0.941366    3.140213
   14         16             0       -0.782505   -1.057179   -0.441107
   15         15             0       -2.268442    0.233380    0.273160
   16         16             0       -2.383847    2.039038   -0.502640
   17          8             0       -3.624992   -0.605504    0.097825
   18          6             0       -4.320374   -0.696936   -1.151162
   19          8             0       -2.102484    0.132614    1.847535
   20          6             0       -2.952774    0.891869    2.722678
   21          1             0        6.218294   -2.465330   -0.441919
   22          1             0        5.799975   -1.532196   -1.888242
   23          1             0        5.186899   -1.035113   -0.305152
   24          1             0        3.820333   -3.112087   -0.164149
   25          1             0        4.430207   -3.617568   -1.773564
   26          1             0        0.946074   -1.241541   -2.720226
   27          1             0        1.967142    0.205116   -2.595354
   28          1             0        1.686846    2.529597    1.664648
   29          1             0        0.103304    2.402150    2.490828
   30          1             0        1.939764    1.552468    3.958890
   31          1             0        0.835669    0.236918    3.514553
   32          1             0        2.400582    0.382403    2.708996
   33          1             0       -3.759779   -1.317981   -1.848896
   34          1             0       -4.466209    0.299259   -1.572237
   35          1             0       -5.278634   -1.155721   -0.918976
   36          1             0       -3.963682    0.486171    2.705640
   37          1             0       -2.971024    1.939114    2.414998
   38          1             0       -2.515291    0.790928    3.712711
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    51.8005                57.8911                61.2697
 Red. masses --    16.3316                20.1207                19.7976
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     7.1665                 3.2323                 2.3035
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.07  -0.14   0.08     0.08   0.17   0.15     0.09   0.26  -0.12
   2   6    -0.11  -0.11   0.17     0.12   0.11   0.14     0.16   0.16  -0.09
   3   8    -0.13  -0.17   0.15     0.14   0.04   0.08     0.09   0.08  -0.06
   4   6     0.06   0.10   0.04    -0.04  -0.09   0.02     0.02  -0.01  -0.01
   5   8     0.25   0.45   0.00    -0.23  -0.18   0.04     0.09   0.01  -0.02
   6   6     0.03  -0.00  -0.02    -0.00  -0.13  -0.05    -0.10  -0.14   0.03
   7   6    -0.03  -0.01  -0.08    -0.03  -0.08  -0.13    -0.10  -0.18   0.07
   8   1    -0.01  -0.02  -0.04     0.01  -0.02  -0.05    -0.04  -0.06   0.02
   9   6    -0.11   0.08  -0.11    -0.03  -0.09  -0.12    -0.11  -0.12   0.02
  10   8    -0.36   0.37  -0.24     0.04  -0.19  -0.11    -0.24  -0.01  -0.08
  11   8     0.05  -0.15  -0.04    -0.10   0.00  -0.17     0.00  -0.22   0.08
  12   6     0.02  -0.09  -0.04    -0.11   0.06  -0.17    -0.01  -0.12   0.02
  13   6    -0.01  -0.07  -0.01    -0.09   0.13  -0.12     0.02  -0.05   0.06
  14  16    -0.01  -0.05  -0.13    -0.19  -0.04  -0.28    -0.13  -0.23   0.26
  15  15     0.06  -0.05   0.01     0.05   0.03   0.07    -0.01   0.05   0.03
  16  16     0.15   0.04   0.21     0.16   0.20   0.45     0.46  -0.00  -0.17
  17   8     0.01   0.02  -0.04    -0.02   0.12   0.01    -0.12   0.22  -0.00
  18   6     0.02   0.06  -0.04     0.04   0.06  -0.02    -0.02   0.13  -0.05
  19   8     0.03  -0.13   0.01     0.06  -0.16   0.04    -0.11   0.10   0.03
  20   6     0.06  -0.09   0.01     0.10  -0.12   0.07    -0.15   0.09  -0.02
  21   1    -0.02  -0.04   0.02     0.03   0.06   0.06     0.04   0.09  -0.04
  22   1    -0.03  -0.06   0.01     0.03   0.04   0.04     0.01   0.08  -0.04
  23   1    -0.01  -0.03   0.01     0.00   0.05   0.03     0.01   0.07  -0.03
  24   1    -0.03  -0.01   0.06     0.03   0.03   0.04     0.06   0.03  -0.02
  25   1    -0.04  -0.05   0.06     0.06   0.03   0.05     0.06   0.05  -0.03
  26   1     0.03  -0.02   0.00     0.00  -0.05  -0.01    -0.03  -0.06   0.02
  27   1     0.00   0.00  -0.01     0.01  -0.05  -0.02    -0.06  -0.03  -0.01
  28   1     0.01  -0.03  -0.01    -0.04   0.02  -0.06    -0.01  -0.03  -0.01
  29   1     0.01  -0.02  -0.02    -0.04   0.02  -0.06    -0.00  -0.03   0.00
